No,Data Type,Keywords,Best Chart Type,Secondary Options,Color Guidance,Performance Impact,Accessibility Notes,Library Recommendation,Interactive Level
11,Hierarchical/Nested Data,hierarchical/nested-data,Treemap,"Sunburst, Nested Donut, Icicle",Parent: distinct hues. Children: lighter shades. White borders 2-3px.,⚠ Moderate,⚠ Poor - provide table alternative. Label large areas.,"D3.js, Recharts, ApexCharts",Hover + Drilldown
12,Flow/Process Data,flow/process-data,Sankey Diagram,"Alluvial, Chord Diagram",Gradient from source to target. Opacity 0.4-0.6 for flows.,⚠ Moderate,⚠ Poor - provide flow table alternative.,"D3.js (d3-sankey), Plotly",Hover + Drilldown
13,Cumulative Changes,cumulative-changes,Waterfall Chart,"Stacked Bar, Cascade",Increases: #4CAF50. Decreases: #F44336. Start: #2196F3. End: #0D47A1.,⚡ Good,✓ Good - clear directional colors with labels.,"ApexCharts, Highcharts, Plotly",Hover
14,Multi-Variable Comparison,multi-variable-comparison,Radar/Spider Chart,"Parallel Coordinates, Grouped Bar",Single: #0080FF 20% fill. Multiple: distinct colors per dataset.,⚡ Good,⚠ Moderate - limit 5-8 axes. Add data table.,"Chart.js, Recharts, ApexCharts",Hover + Toggle
15,Stock/Trading OHLC,stock/trading-ohlc,Candlestick Chart,"OHLC Bar, Heikin-Ashi",Bullish: #26A69A. Bearish: #EF5350. Volume: 40% opacity below.,⚡ Good,⚠ Moderate - provide OHLC data table.,"Lightweight Charts (TradingView), ApexCharts",Real-time + Hover + Zoom
16,Relationship/Connection Data,relationship/connection-data,Network Graph,"Hierarchical Tree, Adjacency Matrix",Node types: categorical colors. Edges: #90A4AE 60% opacity.,❌ Poor (500+ nodes struggles),❌ Very Poor - provide adjacency list alternative.,"D3.js (d3-force), Vis.js, Cytoscape.js",Drilldown + Hover + Drag
17,Distribution/Statistical,distribution/statistical,Box Plot,"Violin Plot, Beeswarm",Box: #BBDEFB. Border: #1976D2. Median: #D32F2F. Outliers: #F44336.,⚡ Excellent,"✓ Good - include stats table (min, Q1, median, Q3, max).","Plotly, D3.js, Chart.js (plugin)",Hover
18,Performance vs Target (Compact),performance-vs-target-(compact),Bullet Chart,"Gauge, Progress Bar","Ranges: #FFCDD2, #FFF9C4, #C8E6C9. Performance: #1976D2. Target: black 3px.",⚡ Excellent,✓ Excellent - compact with clear values.,"D3.js, Plotly, Custom SVG",Hover
19,Proportional/Percentage,proportional/percentage,Waffle Chart,"Pictogram, Stacked Bar 100%",10x10 grid. 3-5 categories max. 2-3px spacing between squares.,⚡ Good,✓ Good - better than pie for accessibility.,"D3.js, React-Waffle, Custom CSS Grid",Hover
20,Hierarchical Proportional,hierarchical-proportional,Sunburst Chart,"Treemap, Icicle, Circle Packing",Center to outer: darker to lighter. 15-20% lighter per level.,⚠ Moderate,⚠ Poor - provide hierarchy table alternative.,"D3.js (d3-hierarchy), Recharts, ApexCharts",Drilldown + Hover
21,Root Cause Analysis,"root cause, decomposition, tree, hierarchy, drill-down, ai-split",Decomposition Tree,"Decision Tree, Flow Chart",Nodes: #2563EB (Primary) vs #EF4444 (Negative impact). Connectors: Neutral grey.,⚠ Moderate (calculation heavy),✓ clear hierarchy. Allow keyboard navigation for nodes.,"Power BI (native), React-Flow, Custom D3.js",Drill + Expand
22,3D Spatial Data,"3d, spatial, immersive, terrain, molecular, volumetric",3D Scatter/Surface Plot,"Volumetric Rendering, Point Cloud",Depth cues: lighting/shading. Z-axis: color gradient (cool to warm).,❌ Heavy (WebGL required),❌ Poor - requires alternative 2D view or data table.,"Three.js, Deck.gl, Plotly 3D",Rotate + Zoom + VR
23,Real-Time Streaming,"streaming, real-time, ticker, live, velocity, pulse",Streaming Area Chart,"Ticker Tape, Moving Gauge",Current: Bright Pulse (#00FF00). History: Fading opacity. Grid: Dark.,⚡ Optimized (canvas/webgl),⚠ Flashing elements - provide pause button. High contrast.,Smoothed D3.js, CanvasJS
24,Sentiment/Emotion,"sentiment, emotion, nlp, opinion, feeling",Word Cloud with Sentiment,"Sentiment Arc, Radar Chart",Positive: #22C55E. Negative: #EF4444. Neutral: #94A3B8. Size = Frequency.,⚡ Good,⚠ Word clouds poor for screen readers. Use list view.,"D3-cloud, Highcharts, Nivo",Hover + Filter
25,Process Mining,"process, mining, variants, path, bottleneck, log",Process Map / Graph,"Directed Acyclic Graph (DAG), Petri Net",Happy path: #10B981 (Thick). Deviations: #F59E0B (Thin). Bottlenecks: #EF4444.,⚠ Moderate to Heavy,⚠ Complex graphs hard to navigate. Provide path summary.,"React-Flow, Cytoscape.js, Recharts",Drag + Node-Click
26,AI/ML Model Metrics,"ai, ml, model, accuracy, loss, training, epoch, neural, prediction",Multi-Line + Confusion Matrix,"ROC Curve, Precision-Recall, Radar Chart",Training: #3B82F6. Validation: #F59E0B. Loss: #EF4444. Accuracy: #22C55E.,⚡ Good,✓ Add data table alternative. Color-coded metrics clear.,"Recharts, Plotly, TensorBoard-embed",Hover + Epoch Slider
27,Token/API Usage,"tokens, api, usage, quota, consumption, rate-limit, billing, credits",Stacked Area + Gauge,"Bar Chart, Donut for quota",Used: #3B82F6. Remaining: #E5E7EB. Overage: #EF4444. Budget line: #F59E0B dashed.,⚡ Excellent,✓ Clear legend. Gauge accessible with text value.,"Recharts, Chart.js, Tremor",Hover + Date Range
28,Network Topology,"network, topology, graph, nodes, connections, infrastructure, cluster",Force-Directed Graph,"Tree Layout, Radial Graph",Healthy: #22C55E. Warning: #F59E0B. Critical: #EF4444. Default: #94A3B8.,⚠ Moderate (many nodes),⚠ Complex for screen readers. Provide list view alternative.,"D3.js, React-Flow, Cytoscape.js",Drag + Zoom + Click
29,Geospatial Choropleth,"map, geo, choropleth, region, heatmap, territory, geography, country",Choropleth Map,"Bubble Map, Dot Density",Sequential: light-to-dark single hue. Diverging: blue-white-red. Borders: #E5E7EB.,⚠ Moderate (SVG/Canvas),⚠ Color-only distinction — add patterns or labels. Table alternative required.,"D3-geo, Mapbox GL, Leaflet, Deck.gl",Hover + Zoom + Filter
30,Flamegraph / Profiling,"flame, profile, performance, stack, trace, cpu, memory, bottleneck",Flamegraph / Icicle Chart,"Sunburst, Treemap",Hot: #EF4444 gradient. Warm: #F59E0B. Cool: #3B82F6. Self-time saturation.,⚠ Moderate,⚠ Complex visualization. Provide searchable function list.,"D3-flame-graph, Speedscope-embed",Click + Zoom + Search
31,User Journey Funnel,"funnel, journey, conversion, drop-off, steps, pipeline, acquisition",Funnel Chart,"Sankey (for branching), Horizontal Bar",Full: #22C55E to Drop: #EF4444 gradient. Steps: sequential brand palette.,⚡ Good,✓ Add percentage labels on each step. Table with conversion rates.,"Recharts, Nivo, D3.js",Hover + Step Click
32,Dependency / Package,"dependency, package, import, module, tree, bundle, webpack",Tree / Hierarchical Graph,"Treemap for size, Sunburst",Size: area proportional. Risk: #EF4444. Updated: #22C55E. Stale: #F59E0B.,⚠ Moderate (large trees),⚠ Provide collapsible list view. Search function essential.,"D3-hierarchy, React-Flow, Webpack-bundle-analyzer",Expand + Search + Filter
33,Gantt / Timeline,"gantt, timeline, schedule, project, milestone, roadmap, sprint",Gantt Chart,"Timeline (horizontal), Roadmap",Category colors. Critical path: #EF4444 border. Completed: #22C55E fill. Current: #3B82F6.,⚡ Good,✓ Ensure dates readable. Keyboard navigation for bars. Table view option.,"Frappe Gantt, DHTMLX, D3-timeline",Drag + Resize + Scroll
34,Embedding / Cluster Viz,"embedding, cluster, tsne, umap, dimensionality, vector, similarity",2D/3D Scatter (t-SNE/UMAP),"Voronoi, Cluster Boundary",Cluster colors: categorical palette (8 distinct). Selected: bright. Others: 30% opacity.,❌ Heavy (WebGL for large N),⚠ Not accessible for screen readers. Provide cluster summary table.,"Deck.gl, Three.js, Plotly",Pan + Zoom + Select
35,Real-Time Collaboration,"collaboration, presence, cursor, active-users, live-editing, multiplayer",Presence Indicator + Activity Feed,"Sparkline, Avatar Stack",User colors: distinct per participant. Active: bright. Idle: muted. Cursor: user color + name.,⚡ Excellent,✓ Announce presence changes to screen readers. Color + name labels.,"Liveblocks, Y.js, Custom WebSocket",Live + Hover + Click
