No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization
11,AI Personalization Landing,"ai, personalization, smart, recommendation, dynamic","1. Dynamic hero (personalized), 2. Relevant features, 3. Tailored testimonials, 4. Smart CTA",Context-aware placement based on user segment,Adaptive based on user data. A/B test color variations per segment.,"Dynamic content swap, fade transitions, personalized product recommendations",20%+ conversion with personalization. Requires analytics integration. Fallback for new users.
12,Waitlist/Coming Soon,"waitlist, coming-soon, launch, early-access, notify","1. Hero with countdown, 2. Product teaser/preview, 3. Email capture form, 4. Social proof (waitlist count)",Email form prominent (above fold) + Sticky form on scroll,Anticipation: Dark + accent highlights. Countdown in brand color. Urgency indicators.,"Countdown timer animation, email validation feedback, success confetti, social share buttons",Scarcity + exclusivity. Show waitlist count. Early access benefits. Referral program.
13,Comparison Table Focus,"comparison, table, versus, compare, features","1. Hero (problem statement), 2. Comparison matrix (you vs competitors), 3. Feature deep-dive, 4. Winner CTA",After comparison table (highlighted row) + Bottom,Your product column highlighted (accent bg or green). Competitors neutral. Checkmarks green.,"Table row hover highlight, feature checkmark animations, sticky comparison header",Show value vs competitors. 35% higher conversion. Be factual. Include pricing if favorable.
14,Pricing-Focused Landing,"pricing, price, cost, plans, subscription","1. Hero (value proposition), 2. Pricing cards (3 tiers), 3. Feature comparison, 4. FAQ, 5. Final CTA",Each pricing card + Sticky CTA in nav + Bottom,Popular plan highlighted (brand color border/bg). Free: grey. Enterprise: dark/premium.,"Price toggle monthly/annual animation, card hover lift, FAQ accordion smooth open",Annual discount 20-30%. Recommend mid-tier (most popular badge). Address objections in FAQ.
15,App Store Style Landing,"app, mobile, download, store, install","1. Hero with device mockup, 2. Screenshots carousel, 3. Features with icons, 4. Reviews/ratings, 5. Download CTAs",Download buttons prominent (App Store + Play Store) throughout,Dark/light matching app store feel. Star ratings in gold. Screenshots with device frames.,"Device mockup rotations, screenshot slider, star rating animations, download button pulse",Show real screenshots. Include ratings (4.5+ stars). QR code for mobile. Platform-specific CTAs.
16,FAQ/Documentation Landing,"faq, documentation, help, support, questions","1. Hero with search bar, 2. Popular categories, 3. FAQ accordion, 4. Contact/support CTA",Search bar prominent + Contact CTA for unresolved questions,"Clean, high readability. Minimal color. Category icons in brand color. Success green for resolved.","Search autocomplete, smooth accordion open/close, category hover, helpful feedback buttons",Reduce support tickets. Track search analytics. Show related articles. Contact escalation path.
17,Immersive/Interactive Experience,"immersive, interactive, experience, 3d, animation","1. Full-screen interactive element, 2. Guided product tour, 3. Key benefits revealed, 4. CTA after completion",After interaction complete + Skip option for impatient users,Immersive experience colors. Dark background for focus. Highlight interactive elements.,"WebGL, 3D interactions, gamification elements, progress indicators, reward animations",40% higher engagement. Performance trade-off. Provide skip option. Mobile fallback essential.
18,Event/Conference Landing,"event, conference, meetup, registration, schedule","1. Hero (date/location/countdown), 2. Speakers grid, 3. Agenda/schedule, 4. Sponsors, 5. Register CTA",Register CTA sticky + After speakers + Bottom,Urgency colors (countdown). Event branding. Speaker cards professional. Sponsor logos neutral.,"Countdown timer, speaker hover cards with bio, agenda tabs, early bird countdown",Early bird pricing with deadline. Social proof (past attendees). Speaker credibility. Multi-ticket discounts.
19,Product Review/Ratings Focused,"reviews, ratings, testimonials, social-proof, stars","1. Hero (product + aggregate rating), 2. Rating breakdown, 3. Individual reviews, 4. Buy/CTA",After reviews summary + Buy button alongside reviews,Trust colors. Star ratings gold. Verified badge green. Review sentiment colors.,"Star fill animations, review filtering, helpful vote interactions, photo lightbox",User-generated content builds trust. Show verified purchases. Filter by rating. Respond to negative reviews.
20,Community/Forum Landing,"community, forum, social, members, discussion","1. Hero (community value prop), 2. Popular topics/categories, 3. Active members showcase, 4. Join CTA",Join button prominent + After member showcase,"Warm, welcoming. Member photos add humanity. Topic badges in brand colors. Activity indicators green.","Member avatars animation, activity feed live updates, topic hover previews, join success celebration","Show active community (member count, posts today). Highlight benefits. Preview content. Easy onboarding."
21,Before-After Transformation,"before-after, transformation, results, comparison","1. Hero (problem state), 2. Transformation slider/comparison, 3. How it works, 4. Results CTA",After transformation reveal + Bottom,Contrast: muted/grey (before) vs vibrant/colorful (after). Success green for results.,"Slider comparison interaction, before/after reveal animations, result counters, testimonial videos",Visual proof of value. 45% higher conversion. Real results. Specific metrics. Guarantee offer.
22,Marketplace / Directory,"marketplace, directory, search, listing","1. Hero (Search focused), 2. Categories, 3. Featured Listings, 4. Trust/Safety, 5. CTA (Become a host/seller)",Hero Search Bar + Navbar 'List your item',Search: High contrast. Categories: Visual icons. Trust: Blue/Green.,Search autocomplete animation," map hover pins,  card carousel, Search bar is the CTA. Reduce friction to search. Popular searches suggestions."
23,Newsletter / Content First,"newsletter, content, writer, blog, subscribe","1. Hero (Value Prop + Form), 2. Recent Issues/Archives, 3. Social Proof (Subscriber count), 4. About Author",Hero inline form + Sticky header form,Minimalist. Paper-like background. Text focus. Accent color for Subscribe.,Text highlight animations," typewriter effect,  subtle fade-in, Single field form (Email only). Show 'Join X, 000 readers'. Read sample link."
24,Webinar Registration,"webinar, registration, event, training, live","1. Hero (Topic + Timer + Form), 2. What you'll learn, 3. Speaker Bio, 4. Urgency/Bonuses, 5. Form (again)",Hero (Right side form) + Bottom anchor,Urgency: Red/Orange. Professional: Blue/Navy. Form: High contrast white.,Countdown timer," speaker avatar float,  urgent ticker, Limited seats logic. 'Live' indicator. Auto-fill timezone."
25,Enterprise Gateway,"enterprise, corporate, gateway, solutions, portal","1. Hero (Video/Mission), 2. Solutions by Industry, 3. Solutions by Role, 4. Client Logos, 5. Contact Sales",Contact Sales (Primary) + Login (Secondary),Corporate: Navy/Grey. High integrity. Conservative accents.,Slow video background," logo carousel,  tab switching for industries, Path selection (I am a...). Mega menu navigation. Trust signals prominent."
26,Portfolio Grid,"portfolio, grid, showcase, gallery, masonry","1. Hero (Name/Role), 2. Project Grid (Masonry), 3. About/Philosophy, 4. Contact",Project Card Hover + Footer Contact,Neutral background (let work shine). Text: Black/White. Accent: Minimal.,Image lazy load reveal," hover overlay info,  lightbox view, Visuals first. Filter by category. Fast loading essential."
27,Horizontal Scroll Journey,"horizontal, scroll, journey, gallery, storytelling, panoramic","1. Intro (Vertical), 2. The Journey (Horizontal Track), 3. Detail Reveal, 4. Vertical Footer",Floating Sticky CTA or End of Horizontal Track,Continuous palette transition. Chapter colors. Progress bar #000000.,"Scroll-jacking (careful), parallax layers, horizontal slide, progress indicator","Immersive product discovery. High engagement. Keep navigation visible.
28,Bento Grid Showcase,bento,  grid,  features,  modular,  apple-style,  showcase"", 1. Hero, 2. Bento Grid (Key Features), 3. Detail Cards, 4. Tech Specs, 5. CTA, Floating Action Button or Bottom of Grid, Card backgrounds: #F5F5F7 or Glass. Icons: Vibrant brand colors. Text: Dark., Hover card scale (1.02), video inside cards, tilt effect, staggered reveal, Scannable value props. High information density without clutter. Mobile stack.
29,Interactive 3D Configurator,3d,  configurator,  customizer,  interactive,  product"", 1. Hero (Configurator), 2. Feature Highlight (synced), 3. Price/Specs, 4. Purchase, Inside Configurator UI + Sticky Bottom Bar, Neutral studio background. Product: Realistic materials. UI: Minimal overlay., Real-time rendering, material swap animation, camera rotate/zoom, light reflection, Increases ownership feeling. 360 view reduces return rates. Direct add-to-cart.
30,AI-Driven Dynamic Landing,ai,  dynamic,  personalized,  adaptive,  generative"", 1. Prompt/Input Hero, 2. Generated Result Preview, 3. How it Works, 4. Value Prop, Input Field (Hero) + 'Try it' Buttons, Adaptive to user input. Dark mode for compute feel. Neon accents., Typing text effects, shimmering generation loaders, morphing layouts, Immediate value demonstration. 'Show, don't tell'. Low friction start."
31,AI Product Demo Landing,"ai, demo, try-it, interactive, generative, prompt, playground","1. Hero with live demo/prompt input, 2. Generated result preview, 3. How it works (3 steps), 4. Use cases gallery, 5. Pricing, 6. CTA",Hero input field + floating CTA,Dark mode for compute feel. Neon/gradient accents. Input: high contrast. Results: card style.,"Typing text effect, shimmering generation loader, result fade-in, streaming text animation","Immediate value demonstration. Show dont tell. Low friction start. Let users try before signup."
32,Developer Tool / API,"developer, api, sdk, devtool, code, documentation, cli, integration","1. Hero with code snippet, 2. Quick start (3 steps), 3. Features with code examples, 4. Language/SDK tabs, 5. Pricing, 6. Docs link",Hero code block + Get Started button,Dark code blocks. Syntax highlighting. Monospace headings optional. Clean documentation feel.,"Code syntax highlight animation, tab switch, copy-to-clipboard feedback, terminal typing","Developers want to see code immediately. Show curl/SDK examples in hero. Quick start in 3 steps."
33,Community / Open Source,"community, open-source, oss, github, contributors, stars, forks","1. Hero with GitHub stats, 2. Key features, 3. Contributors grid, 4. Getting started, 5. Sponsors, 6. Community links",GitHub star button + Get Started,Neutral/dark theme. GitHub-style. Contribution graph green. Badge colors for ecosystem.,"GitHub star counter, contributor avatar scroll, stat count-up, badge animations","Show social proof (stars/forks/contributors). Easy install command. Community-first messaging."
34,Product-Led Growth,"plg, freemium, self-serve, try-free, signup, onboarding, activation","1. Hero with signup form, 2. Product screenshot/video, 3. Key features (3-5), 4. Social proof, 5. Pricing (free tier highlighted), 6. FAQ",Inline signup form in hero + pricing CTA,Brand primary. Free tier: green highlight. Pro tier: blue/purple. Enterprise: dark.,"Form field focus animation, pricing toggle (monthly/annual), feature comparison reveal","Minimize friction to signup. Highlight free tier. Show product value immediately. No sales call needed."
35,Before/After Transform,"before-after, comparison, transformation, results, slider, proof","1. Hero with before/after slider, 2. How it works, 3. More transformations gallery, 4. Testimonials, 5. Pricing, 6. CTA",After hero slider + bottom CTA,Before: muted/grey. After: vibrant/colorful. Slider: brand accent. High contrast comparison.,"Before/after slider interaction, transformation animation, gallery lightbox, stat reveal","Visual proof of value. Interactive slider engages users. Use real examples. Quantify the improvement."
36,Newsletter / Content,"newsletter, subscribe, email, content, blog, creator, substack","1. Hero with email input, 2. Recent issues preview, 3. Author bio, 4. Testimonials/subscriber count, 5. Archive preview",Single email input in hero,Clean/minimal. Author-focused. Preview cards for past issues. Warm/inviting colors.,"Email input focus, subscribe success animation, issue card hover, counter count-up","Single field conversion. Show recent content as proof of value. Display subscriber count as social proof."
37,Webinar / Event Registration,"webinar, event, conference, registration, virtual, live, speakers","1. Hero with date/time + register button, 2. What youll learn, 3. Speaker bios, 4. Agenda/schedule, 5. Register form, 6. FAQ",Hero register button + sticky countdown,Urgent: countdown timer colors. Professional: brand + dark. Speaker: warm portrait bg.,"Countdown timer, speaker card hover, agenda accordion, registration form validation","Create urgency with countdown. Show speaker credibility. Clear date/time/timezone. Easy registration form."
38,Quiz / Assessment Funnel,"quiz, assessment, funnel, personalization, recommendation, survey","1. Hero with start quiz CTA, 2. Question flow (step by step), 3. Progress bar, 4. Results page, 5. Personalized recommendation, 6. CTA",Start Quiz button + personalized CTA at end,Progress: gradient fill. Questions: clean card. Results: personalized brand colors. Success: green.,"Progress bar fill, question slide transition, result reveal animation, recommendation card entrance","Gamification increases engagement. Show progress. Personalized results drive conversion. Email gate optional."
39,Comparison / VS Page,"comparison, versus, vs, alternative, competitor, switch, migrate","1. Hero stating the comparison, 2. Feature comparison table, 3. Key differentiators (3-5), 4. Migration guide, 5. Testimonials from switchers, 6. CTA",Hero CTA + post-comparison CTA,Your brand: primary/positive. Competitor: muted/grey. Checkmarks: green. X marks: red.,"Table row highlight, checkmark animation, testimonial carousel, feature tooltip","Honest comparison builds trust. Highlight genuine advantages. Acknowledge competitor strengths. Show migration ease."
40,Pricing-First Landing,"pricing, plans, tiers, cost, free-trial, money, value","1. Hero stating value prop, 2. Pricing table (2-4 tiers), 3. Feature comparison, 4. FAQ, 5. Testimonials, 6. Final CTA",Popular tier highlighted + annual toggle,Popular tier: accent border/badge. Free: subtle. Enterprise: dark/premium. Annual: savings badge.,"Pricing toggle animation, tier highlight, feature row reveal, savings calculation","Highlight recommended plan. Show annual savings. Free trial prominent. FAQ below pricing reduces hesitation."
41,Waitlist / Coming Soon,"waitlist, coming-soon, launch, early-access, beta, pre-launch, teaser","1. Hero with teaser + email input, 2. Product preview/mockup, 3. Key features (upcoming), 4. Waitlist count, 5. Social links",Single email input + waitlist counter,Dark/mysterious or brand teaser colors. Gradient bg for excitement. Counter: bright accent.,"Counter count-up, email submit success, confetti/celebration, teaser image parallax","Create exclusivity. Show waitlist count as social proof. Promise early access benefits. Minimal info needed."
42,Portfolio / Case Study,"portfolio, case-study, work, projects, showcase, results, client","1. Hero with headline + featured project, 2. Project grid/masonry, 3. Case study detail (problem/solution/result), 4. Client logos, 5. Contact CTA",Project cards + contact CTA,Neutral background to let work shine. Project cards: image-forward. Dark overlay on hover.,"Project card hover reveal, masonry grid stagger, case study scroll animation, stat counter","Let the work speak. Large images. Brief case study format. Quantify results. Easy contact path."
43,Social Proof Bar,"social-proof, logos, trusted-by, client-logos, scrolling, brands, testimonial-bar","1. Logo row immediately below hero, 2. Count/metrics (500+ teams), 3. Optional: scrolling marquee","Below hero before features — maximum visibility","Logos in grayscale (opacity-40) hover:opacity-70. Muted against main bg.","Logo scroll marquee (infinite), fade edges, hover brightness, count-up animation","Place directly below hero. 10-270% conversion lift documented. Keep logos recognizable."
44,Animated Product Demo,"interactive, walkthrough, product-tour, embedded, demo, sandbox, try-now","1. Hero CTA to demo, 2. Interactive product preview, 3. Guided steps overlay, 4. Feature highlights, 5. Sign up CTA","Embedded in hero or dedicated section with CTA","Product UI in neutral frame. Highlight accent on interactive elements. Dark bg optional.","Step indicator, pointer/cursor animation, tooltip reveals, feature spotlight glow","Video boosts conversions 80%. Interactive demos even higher. Show real product not mockups."
45,FAQ Advanced,"faq, accordion, search, categories, helpful-votes, questions, support","1. Search bar, 2. Category tabs, 3. Accordion Q&A items, 4. Helpful vote (Yes/No), 5. Contact CTA","Below FAQ with contact fallback","Neutral bg. Category tabs in accent. Open accordion has left border accent.","Smooth accordion expand (200ms), search highlight, category tab transition, helpful vote animation","Reduces support tickets 30-50%. Group by topic. Show popular first. Always offer human contact."
46,Integration Showcase,"partners, integrations, logos-grid, ecosystem, connect, apps, marketplace","1. Section heading, 2. Grid of integration logos/cards, 3. Count badge, 4. Browse all CTA","Grid section with explore CTA","Logo cards on neutral bg. Hover shows brand color. Category filter tabs.","Logo hover color reveal, grid stagger entrance, category filter transition, search filter","Show ecosystem strength. Group by category. Highlight popular integrations first."
47,Security Trust Section,"compliance, badges, SOC2, GDPR, certifications, privacy, enterprise-ready","1. Trust headline, 2. Certification badges grid, 3. Security features list, 4. Compliance details link","Positioned before pricing for enterprise conversion","Dark bg with white badge icons for gravitas. Or light bg with muted badge colors.","Badge subtle float, shield icon animation, checklist reveal, trust counter","Enterprise buyers need this. SOC2/GDPR/HIPAA badges lift enterprise conversion significantly."
48,Live Stats Counter,"real-time, counter, metrics, social-proof-numbers, active-users, revenue","1. Stat cards row, 2. Each stat: number + label, 3. Optional: real-time dot indicator","Inline with hero or standalone section","Numbers in accent/bold. Labels in muted. Subtle bg cards or transparent.","Count-up animation (intersection observer), number increment, pulse dot for live, odometer effect","Quantified social proof. Update numbers periodically. Show impressiveness: users, revenue, uptime %."
49,Blog Preview Section,"latest-articles, cards, blog-feed, resources, insights, content-marketing","1. Section heading, 2. Featured article large, 3. 2-3 recent articles grid, 4. View all CTA","Cards grid with view-all link","Card images prominent. Category badges in accent. Read time in muted.","Card hover lift, image zoom on hover, stagger entrance, category badge color","Drives organic traffic. Show variety of topics. Feature most engaging post. Include read time."
50,Newsletter Signup,"email-capture, subscribe, lead-gen, newsletter, updates, mailing-list","1. Compelling headline, 2. Brief value prop, 3. Email input + submit button, 4. Privacy note","Inline form with prominent submit button","Input and button match main CTA style. Subtle bg section to stand out.","Submit success animation, input focus glow, checkmark on subscribe, confetti optional","Keep fields minimal (email only). Clear value proposition. Privacy link required. Confirmation message."
51,Before/After Comparison,"slider, comparison, toggle, transformation, results, before-after, split","1. Before/after image pair, 2. Draggable slider or toggle, 3. Labels, 4. CTA","Slider in dedicated section with supporting copy","Neutral frame. Slider accent handle. Labels on each side.","Drag slider interaction, smooth image reveal, toggle transition, label fade","Perfect for design/editing/transformation products. Interactive beats static images. Works great on mobile."
52,404 Not Found Page,"404, error, not-found, lost, missing, dead-end","1. Large 404 number, 2. Friendly message, 3. Search bar or suggestions, 4. Home CTA","Navigation options: home link + search","Match site design. 404 number in large muted text. CTA in accent.","Subtle float animation on 404, search bar focus, link hover","Keep it fun but helpful. Provide escape routes. Never dead-end the user. Match brand tone."
