No,Category,Token Name,Keywords,Value,Scale,CSS Variable,Tailwind Class,Usage,Notes,Severity
15,Border Radius,radius-xl,very-rounded prominent chunky,"16px (1rem)","0/2/4/6/8/12/16/9999",--radius-xl,rounded-xl,"Large modal dialogs, bottom sheets, mobile cards, overlay panels, feature showcase cards","Strong rounding for emphasis; use sparingly to avoid a toy-like appearance in professional UIs",Medium
16,Border Radius,radius-full,circle pill capsule round,"9999px","0/2/4/6/8/12/16/9999",--radius-full,rounded-full,"Avatars, status indicators, pill badges, toggle switches, circular icon buttons, tags","Forces a perfect circle on square elements or pill shape on rectangles; never use on cards or containers",Critical
17,Shadow,shadow-sm,subtle hint low soft faint,"0 1px 2px 0 rgba(0,0,0,0.05)","sm/md/lg/xl/2xl/inner/none",--shadow-sm,shadow-sm,"Subtle lift for interactive elements at rest (buttons, chips, input fields); hover state for flat elements","Barely visible but perceptible; adds dimensionality without visual noise; the lightest useful shadow",High
18,Shadow,shadow-md,default standard medium card,"0 4px 6px -1px rgba(0,0,0,0.1) and 0 2px 4px -2px rgba(0,0,0,0.1)","sm/md/lg/xl/2xl/inner/none",--shadow-md,shadow-md,"Cards, raised panels, dropdowns, navigation bars, content containers, sticky headers","The default shadow for most elevated components; two-layer shadow creates realistic depth perception",Critical
19,Shadow,shadow-lg,prominent elevated floating raised,"0 10px 15px -3px rgba(0,0,0,0.1) and 0 4px 6px -4px rgba(0,0,0,0.1)","sm/md/lg/xl/2xl/inner/none",--shadow-lg,shadow-lg,"Dropdown menus, popovers, floating action buttons, hover states for cards, expanded panels","Use for elements that float above the page surface; signals interactivity and temporary elevation",High
20,Shadow,shadow-xl,overlay high-elevation dramatic prominent,"0 20px 25px -5px rgba(0,0,0,0.1) and 0 8px 10px -6px rgba(0,0,0,0.1)","sm/md/lg/xl/2xl/inner/none",--shadow-xl,shadow-xl,"Modals, dialog overlays, full-screen menus, notification panels, toast stacks","High-elevation shadow for overlays that require clear separation from the page beneath",High
21,Shadow,shadow-2xl,maximum toast popup dramatic deep,"0 25px 50px -12px rgba(0,0,0,0.25)","sm/md/lg/xl/2xl/inner/none",--shadow-2xl,shadow-2xl,"Top-level toasts, command palettes, critical alerts, maximum elevation overlays","The strongest shadow; reserve for the single highest-priority overlay in the stacking context",Medium
22,Shadow,shadow-inner,inset pressed depressed recessed,"inset 0 2px 4px 0 rgba(0,0,0,0.06)","sm/md/lg/xl/2xl/inner/none",--shadow-inner,shadow-inner,"Pressed button states, input fields (inset look), toggle switch tracks, well containers","Creates the illusion of a recessed surface; use for active/pressed states or container wells",Medium
23,Shadow,shadow-colored,brand-shadow accent-glow tinted colored,"0 4px 14px 0 rgba(primary,0.25)","Custom per-brand-color",--shadow-colored,"shadow-primary/500 (custom utility)","Brand-colored glow beneath primary CTAs, promotional cards, featured elements, hover emphasis","Multiply the brand color at 20-30% opacity; never use on more than one element per viewport to avoid visual clutter",Medium
24,Shadow,shadow-dark-mode,dark-mode-shadow dark-elevation night,"0 4px 6px -1px rgba(0,0,0,0.3) and 0 2px 4px -2px rgba(0,0,0,0.2)","Mirrors light-mode scale with higher opacity",--shadow-dark,dark:shadow-md (with CSS override),"All elevated components in dark mode; cards, modals, dropdowns in dark theme","In dark mode increase shadow opacity to 2-3x because dark backgrounds absorb shadow; consider adding a subtle bright border instead",Critical
25,Typography,font-size-xs,tiny fine small print legal caption,"12px (0.75rem)","12/14/16/18/20/24/30/36/48/60/72",--font-size-xs,text-xs,"Legal disclaimers, helper text, timestamps, badge labels, footnotes, captions","Minimum readable size; never go below 12px for body text; ensure 4.5:1 contrast ratio at this size",High
26,Typography,font-size-sm,small secondary supporting,"14px (0.875rem)","12/14/16/18/20/24/30/36/48/60/72",--font-size-sm,text-sm,"Secondary body text, table cell content, sidebar navigation, form labels, metadata","Common in dense UIs like dashboards; pair with font-weight 500 for better readability at small size",High
27,Typography,font-size-base,body default standard paragraph,"16px (1rem)","12/14/16/18/20/24/30/36/48/60/72",--font-size-base,text-base,"Primary body text, form inputs, button labels, list items, paragraph content","The foundation of all typography; browser default; optimal for long-form reading on screens",Critical
28,Typography,font-size-lg,large emphasis lead intro,"18px (1.125rem)","12/14/16/18/20/24/30/36/48/60/72",--font-size-lg,text-lg,"Lead paragraphs, card titles, nav links, prominent labels, subtitle text","Slightly larger than body for emphasis without heading-level weight; good for card headers",High
29,Typography,font-size-2xl,heading title section-header h2,"24px (1.5rem)","12/14/16/18/20/24/30/36/48/60/72",--font-size-2xl,text-2xl,"Section headings (h2), card group titles, modal headers, feature section titles","Primary section heading size; pair with font-weight 700 and letter-spacing -0.025em for impact",Critical
30,Typography,font-size-4xl,display hero banner large-heading,"36px (2.25rem)","12/14/16/18/20/24/30/36/48/60/72",--font-size-4xl,text-4xl,"Page titles (h1), hero headlines, landing page main heading, feature hero text","Display-level heading; use clamp() for responsive sizing: clamp(1.875rem, 4vw, 2.25rem)",High
31,Typography,line-height-tight,compact dense heading title,"1.25 (125%)","1/1.25/1.375/1.5/1.625/1.75/2",--line-height-tight,leading-tight,"Headings (h1-h3), display text, hero headlines, large bold text, banner titles","Tighter leading prevents headings from looking sparse; never use on body text or paragraphs",High
32,Typography,line-height-normal,body default readable paragraph,"1.5 (150%)","1/1.25/1.375/1.5/1.625/1.75/2",--line-height-normal,leading-normal,"Body paragraphs, form fields, list items, descriptions, any multi-line readable text","The gold standard for body text readability; provides adequate space for ascenders and descenders",Critical
33,Color,color-primary,brand main action primary cta,"#2563EB (Blue 600)","50/100/200/300/400/500/600/700/800/900/950",--color-primary,text-primary bg-primary,"Primary CTAs, active navigation, links, selected states, primary buttons, brand accents","Must pass WCAG AA contrast (4.5:1) against white backgrounds; test both light and dark mode",Critical
34,Color,color-secondary,supporting muted subtle secondary,"#64748B (Slate 500)","50/100/200/300/400/500/600/700/800/900/950",--color-secondary,text-secondary bg-secondary,"Secondary buttons, metadata text, supporting UI elements, breadcrumbs, inactive tabs","Lower visual priority than primary; use for actions that are available but not the main path",High
35,Color,color-accent,highlight emphasis pop attention feature,"#8B5CF6 (Violet 500)","50/100/200/300/400/500/600/700/800/900/950",--color-accent,text-accent bg-accent,"Feature highlights, promotional badges, new-feature indicators, accent borders, special states","Use sparingly (max 10% of UI surface) to maintain visual impact; too much accent dilutes emphasis",High
36,Color,color-success,positive good correct valid approved,"#22C55E (Green 500)","50/100/200/300/400/500/600/700/800/900/950",--color-success,text-success bg-success,"Success toasts, valid form states, completed steps, positive metrics, approval indicators","Never use green alone to convey meaning; always pair with an icon or text for color-blind accessibility",Critical
37,Color,color-warning,caution alert attention notice careful,"#F59E0B (Amber 500)","50/100/200/300/400/500/600/700/800/900/950",--color-warning,text-warning bg-warning,"Warning banners, approaching-limit indicators, unsaved-changes notices, caution states","Amber provides urgency without alarm; pair with a warning icon (triangle exclamation) for clarity",Critical
38,Color,color-error,danger destructive invalid wrong failed,"#EF4444 (Red 500)","50/100/200/300/400/500/600/700/800/900/950",--color-error,text-error bg-error,"Error messages, invalid form fields, destructive action buttons, failed states, delete confirmations","Always pair with descriptive text; never rely solely on color; add aria-invalid for form fields",Critical
39,Color,color-surface,background container panel card bg,"#FFFFFF light / #09090B dark","Light: #FFFFFF / Dark: #09090B (Zinc 950)",--color-surface,bg-white dark:bg-zinc-950,"Page backgrounds, card surfaces, modal backgrounds, sidebar backgrounds, panel surfaces","Foundation layer; all other colors must have sufficient contrast against the surface color in both themes",Critical
40,Color,color-border,divider separator outline stroke edge,"#E2E8F0 light / #27272A dark","Light: #E2E8F0 (Slate 200) / Dark: #27272A (Zinc 800)",--color-border,border-slate-200 dark:border-zinc-800,"Card borders, input outlines, dividers, table cell borders, separator lines, section dividers","Subtle enough to define boundaries without competing with content; increase opacity on focus states",High
41,Z-Index,z-base,default ground normal content,"0 (auto)","0/10/20/30/40/50",--z-base,z-0,"Normal document flow content; page body, main content area, standard positioned elements","The default stacking layer; avoid setting z-index unless an element genuinely needs to overlap another",Critical
42,Z-Index,z-dropdown,dropdown menu popup select popover,"10","0/10/20/30/40/50",--z-dropdown,z-10,"Dropdown menus, select menus, autocomplete lists, popover panels, date pickers","Must sit above page content but below sticky headers; always pair with click-outside dismiss behavior",High
43,Z-Index,z-sticky,sticky header fixed nav affix,"20","0/10/20/30/40/50",--z-sticky,z-20,"Sticky navigation bars, fixed headers, floating toolbars, sticky table headers, persistent banners","Above dropdowns so sticky nav remains visible when a dropdown opens elsewhere on the page",High
44,Z-Index,z-modal,modal dialog overlay lightbox sheet,"30","0/10/20/30/40/50",--z-modal,z-30,"Modal dialogs, full-screen overlays, bottom sheets, lightbox containers, confirmation dialogs","Always render a backdrop at z-29 to trap focus and prevent interaction with content beneath",Critical
45,Z-Index,z-toast,toast notification snackbar alert popup,"40","0/10/20/30/40/50",--z-toast,z-40,"Toast notifications, snackbar messages, floating alerts, system-level banners, progress indicators","Must float above modals so toasts remain visible even when a modal is open; auto-dismiss in 3-5s",High
46,Z-Index,z-tooltip,tooltip popover hint overlay top,"50","0/10/20/30/40/50",--z-tooltip,z-50,"Tooltips, contextual hints, cursor-following popovers, drag-and-drop ghosts, max-elevation UI","The ceiling of the z-index scale; nothing should ever need higher; if it does restructure stacking contexts",Critical
47,Transition,duration-fast,quick instant rapid snappy immediate,"100ms","75/100/150/200/300/500",--duration-fast,duration-100,"Hover color changes, opacity toggles, checkbox/radio state changes, focus ring appearance","Imperceptible as animation but prevents jarring instant changes; use for micro-state transitions",High
48,Transition,duration-normal,default standard medium smooth,"200ms","75/100/150/200/300/500",--duration-normal,duration-200,"Button hover/active states, dropdown open/close, accordion expand, tab switching, fade in/out","The default transition speed for most UI interactions; feels responsive without being abrupt",Critical
49,Transition,duration-slow,gentle deliberate leisurely calm,"300ms","75/100/150/200/300/500",--duration-slow,duration-300,"Modal open/close, sidebar slide, page transitions, skeleton-to-content reveal, large panel animations","For larger elements that need graceful movement; anything above 300ms risks feeling sluggish",High
50,Transition,ease-out,decelerate settle land arrive,"cubic-bezier(0,0,0.2,1)","ease-in/ease-out/ease-in-out/linear",--ease-out,ease-out,"Elements entering the viewport (dropdowns opening, modals appearing, toasts sliding in)","Objects entering the screen should decelerate to a stop; mimics natural physics of arriving objects",Critical
51,Transition,ease-in-out,smooth symmetric balanced natural,"cubic-bezier(0.4,0,0.2,1)","ease-in/ease-out/ease-in-out/linear",--ease-in-out,ease-in-out,"Expanding/collapsing accordions, toggle switches, tab content transitions, size changes","Symmetric acceleration and deceleration; the safest default easing when unsure which curve to use",High
52,Semantic Color,color-error,"error, danger, red, destructive, invalid",#EF4444,"50/100/200/300/400/500/600/700/800/900/950",--color-error,text-red-500 bg-red-50,"Error messages, validation, destructive actions, alert borders, error badges","Semantic token — maps to red-500 by default but can be themed. Always pair with error text.",Critical
53,Semantic Color,color-success,"success, green, positive, confirm, valid",#22C55E,"50/100/200/300/400/500/600/700/800/900/950",--color-success,text-green-500 bg-green-50,"Success messages, confirmation, positive status, completed states, valid input","Semantic token — maps to green-500 by default. Use with aria-live for announcements.",Critical
54,Semantic Color,color-warning,"warning, amber, caution, alert, attention",#F59E0B,"50/100/200/300/400/500/600/700/800/900/950",--color-warning,text-amber-500 bg-amber-50,"Warning alerts, caution states, pending status, attention-required indicators","Semantic token — maps to amber-500. Ensure sufficient contrast on light backgrounds.",High
55,Semantic Color,color-info,"info, blue, notice, help, informational",#3B82F6,"50/100/200/300/400/500/600/700/800/900/950",--color-info,text-blue-500 bg-blue-50,"Information banners, tips, help messages, status indicators, feature callouts","Semantic token — maps to blue-500. Use for non-critical informational UI.",Medium
56,Motion,duration-fast,"fast, quick, micro, instant, snappy","150ms","50/100/150/200",--duration-fast,duration-150,"Button hover/active, toggle, checkbox, ripple, focus ring, tooltip show","Micro-interactions that should feel instant. Below 100ms feels simultaneous; 150ms feels snappy.",High
57,Motion,duration-normal,"normal, standard, default, interaction, medium","250ms","200/250/300",--duration-normal,duration-250,"Dropdown open, popover show, card hover, accordion expand, tab switch, modal fade","Standard interaction timing. 200-300ms is the sweet spot for most UI transitions.",High
58,Motion,duration-slow,"slow, emphasis, page, transition, deliberate","400ms","300/400/500",--duration-slow,duration-400,"Page transitions, drawer slide, modal scale, sidebar collapse, view transitions, layout shift","For larger elements or emphasis. Above 500ms risks feeling sluggish.",Medium
59,Motion,easing-spring,"spring, bounce, elastic, natural, physics, organic","linear(0, 0.5 30%, 1.05 65%, 0.98 80%, 1)","N/A — single function",--ease-spring,ease-[linear(0_0.5_30%_1.05_65%_0.98_80%_1)],"Playful interactions, success celebrations, attention-grabbing reveals, element entrance","CSS linear() approximation of spring physics. Use for organic feel. Falls back to ease-out.",Medium
60,Opacity,opacity-scale,"opacity, transparent, dim, muted, overlay, disabled","0/5/10/20/40/60/80/100","0/5/10/20/40/60/80/100",--opacity-*,"opacity-0/5/10/20/40/60/80/100","Disabled states (40), overlays (50-80), hover effects (10-20), muted text (60), watermarks (10)","Standardized opacity levels prevent inconsistent transparency. Disabled = 50, Overlay = 50-80.",Medium
