No,Component,Pattern,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Accessibility,Responsive,Severity
56,Carousel,Image Carousel,"carousel, image-slider, slideshow, gallery","Image carousel/slider for showcasing multiple images with navigation controls","Provide prev/next buttons; show pagination dots; support keyboard navigation; pause auto-play on hover/focus; lazy-load offscreen images","Auto-play without pause control; hide navigation controls; use only swipe (no buttons); load all images eagerly","<div role=""region"" aria-roledescription=""carousel"" aria-label=""Product images""><div className=""relative overflow-hidden rounded-xl""><div className=""flex transition-transform duration-300"" style={{ transform: `translateX(-${current * 100}%)` }}>{images.map((img, i) => (<div key={i} role=""group"" aria-roledescription=""slide"" aria-label={`Slide ${i + 1} of ${images.length}`} className=""w-full shrink-0""><img src={img.src} alt={img.alt} loading={i === 0 ? 'eager' : 'lazy'} className=""aspect-video w-full object-cover"" /></div>))}</div><button aria-label=""Previous slide"" onClick={prev} className=""absolute left-2 top-1/2 -translate-y-1/2 rounded-full bg-white/80 p-2 shadow""><ChevronLeftIcon className=""h-5 w-5"" /></button><button aria-label=""Next slide"" onClick={next} className=""absolute right-2 top-1/2 -translate-y-1/2 rounded-full bg-white/80 p-2 shadow""><ChevronRightIcon className=""h-5 w-5"" /></button></div><div role=""tablist"" className=""mt-3 flex justify-center gap-2"">{images.map((_, i) => (<button key={i} role=""tab"" aria-selected={i === current} aria-label={`Go to slide ${i + 1}`} onClick={() => setCurrent(i)} className={`h-2 w-2 rounded-full ${i === current ? 'bg-blue-600' : 'bg-zinc-300'}`} />))}</div></div>","<div>{images.map((img, i) => i === current && <img key={i} src={img.src} />)}</div><button onClick={next}>Next</button>","aria-roledescription=carousel; role=group per slide with aria-roledescription=slide; aria-label per slide; prev/next labeled; pagination as tablist","Swipe gesture support on touch; full-width on mobile; adequate button sizes; reduce auto-play to manual on mobile",High
57,Carousel,Testimonial Slider,"testimonial, review-slider, quote-carousel, social-proof","Carousel for cycling through customer testimonials and reviews","Show one testimonial at a time; include avatar, name, and role; auto-play with pause; smooth transitions","Cram multiple testimonials in one view; use tiny text; skip attribution; auto-play too fast","<div role=""region"" aria-roledescription=""carousel"" aria-label=""Customer testimonials""><div aria-live=""polite"" className=""rounded-xl bg-zinc-50 p-8 text-center dark:bg-zinc-800""><blockquote><p className=""text-lg font-medium text-zinc-900 dark:text-zinc-100"">&#8220;{testimonials[current].quote}&#8221;</p></blockquote><div className=""mt-4 flex items-center justify-center gap-3""><img src={testimonials[current].avatar} alt="""" className=""h-10 w-10 rounded-full"" /><div className=""text-left""><p className=""text-sm font-semibold text-zinc-900 dark:text-zinc-100"">{testimonials[current].name}</p><p className=""text-xs text-zinc-500"">{testimonials[current].role}</p></div></div></div></div>","<div>{testimonials[current].text}<br/><b>{testimonials[current].name}</b></div>","aria-live=polite for content changes; blockquote for quote semantics; avatar alt empty if decorative","Full-width on mobile; readable font size; adequate padding; swipe support; no auto-play on reduced-motion",Medium
58,Carousel,Card Carousel,"card-slider, horizontal-scroll, content-carousel, featured-cards","Horizontally scrolling carousel of cards for featured content or products","Use scroll-snap for smooth snapping; show peek of next card; provide scroll indicators; support drag and swipe","Hide scrollbar without alternative navigation; snap too aggressively; forget overflow indicators","<div className=""relative""><div className=""scrollbar-hide flex snap-x snap-mandatory gap-4 overflow-x-auto scroll-smooth px-4 pb-4"">{items.map(item => (<article key={item.id} className=""w-72 shrink-0 snap-start rounded-xl border border-zinc-200 bg-white p-4 shadow-sm dark:border-zinc-800 dark:bg-zinc-900""><h3 className=""text-sm font-semibold text-zinc-900"">{item.title}</h3><p className=""mt-2 text-sm text-zinc-600"">{item.description}</p></article>))}</div><button aria-label=""Scroll left"" onClick={scrollLeft} className=""absolute left-0 top-1/2 -translate-y-1/2 rounded-full bg-white p-2 shadow-lg""><ChevronLeftIcon className=""h-5 w-5"" /></button><button aria-label=""Scroll right"" onClick={scrollRight} className=""absolute right-0 top-1/2 -translate-y-1/2 rounded-full bg-white p-2 shadow-lg""><ChevronRightIcon className=""h-5 w-5"" /></button></div>","<div className=""flex overflow-hidden"">{items.map(i => <div className=""w-64"">{i.title}</div>)}</div>","Navigation buttons with aria-label; scroll-snap for keyboard users; announce context on navigation","Touch scroll native on mobile; snap-x snap-mandatory; peek of next card visible; adequate card widths",Medium
59,Search,Search Bar,"search, search-input, search-field, global-search","Prominent search input with icon and optional clear button for content discovery","Use type=search; show search icon; provide clear button when populated; submit on Enter; show recent searches","Auto-submit on every keystroke without debounce; hide search behind icon-only button; skip clear function","<form role=""search"" action=""/search"" className=""relative""><MagnifyingGlassIcon className=""absolute left-3 top-1/2 h-5 w-5 -translate-y-1/2 text-zinc-400"" /><input type=""search"" name=""q"" placeholder=""Search..."" aria-label=""Search"" value={query} onChange={e => setQuery(e.target.value)} className=""w-full rounded-lg border border-zinc-300 bg-white py-2.5 pl-10 pr-10 text-sm shadow-sm transition-colors focus:border-blue-500 focus:ring-2 focus:ring-blue-500/20 dark:border-zinc-700 dark:bg-zinc-800"" />{query && (<button type=""button"" onClick={() => setQuery('')} aria-label=""Clear search"" className=""absolute right-3 top-1/2 -translate-y-1/2 rounded p-0.5 text-zinc-400 hover:text-zinc-600""><XMarkIcon className=""h-4 w-4"" /></button>)}</form>","<input placeholder=""Search..."" onChange={e => fetchResults(e.target.value)} className=""border p-2"" />","role=search on form; type=search; aria-label; clear button with aria-label; submit on Enter","Full-width on mobile; adequate font size (16px+) to prevent zoom; prominent placement; clear button tappable",High
60,Search,Command Palette,"command-palette, cmd-k, spotlight, quick-actions","Keyboard-triggered command palette for power users to quickly navigate or execute actions","Trigger with Cmd/Ctrl+K; fuzzy search; show keyboard shortcuts; group results by category; close on Escape","Require mouse to open; show all commands without filtering; lag on keystroke; skip keyboard navigation","<dialog ref={dialogRef} className=""fixed inset-0 z-50 flex items-start justify-center bg-black/50 pt-[20vh]""><div className=""w-full max-w-lg rounded-xl border border-zinc-200 bg-white shadow-2xl dark:border-zinc-700 dark:bg-zinc-900""><div className=""flex items-center border-b px-4""><MagnifyingGlassIcon className=""h-5 w-5 text-zinc-400"" /><input autoFocus placeholder=""Type a command or search..."" value={query} onChange={e => setQuery(e.target.value)} className=""flex-1 border-0 bg-transparent px-3 py-3 text-sm outline-none"" /></div><ul role=""listbox"" className=""max-h-80 overflow-auto p-2"">{results.map((item, i) => (<li key={item.id} role=""option"" aria-selected={i === active} className={`flex items-center gap-3 rounded-lg px-3 py-2 text-sm ${i === active ? 'bg-blue-50 text-blue-600' : 'text-zinc-700'}`}><item.icon className=""h-4 w-4"" /><span>{item.label}</span><kbd className=""ml-auto text-xs text-zinc-400"">{item.shortcut}</kbd></li>))}</ul></div></dialog>","<div className=""fixed inset-0""><input onChange={search} /><div>{results.map(r => <div onClick={r.action}>{r.name}</div>)}</div></div>","role=listbox/option; aria-selected; autoFocus on input; arrow key navigation; Enter to execute; Escape to close","Full-screen overlay on mobile; larger tap targets; simplified results; swipe to dismiss",High
61,Search,Autocomplete,"autocomplete, suggestions, typeahead-search, search-suggest","Search input with real-time suggestion dropdown as the user types","Debounce API calls (200-300ms); highlight matching text in suggestions; show recent searches; keyboard navigable list","Fire API call on every keystroke; show stale results; ignore keyboard navigation in suggestions","<div className=""relative""><input role=""combobox"" aria-expanded={suggestions.length > 0} aria-controls=""search-suggestions"" aria-autocomplete=""list"" aria-activedescendant={activeId} value={query} onChange={e => { setQuery(e.target.value); debouncedSearch(e.target.value); }} className=""w-full rounded-lg border border-zinc-300 px-3 py-2 text-sm"" />{suggestions.length > 0 && (<ul id=""search-suggestions"" role=""listbox"" className=""absolute z-10 mt-1 max-h-60 w-full overflow-auto rounded-lg border border-zinc-200 bg-white py-1 shadow-lg"">{suggestions.map((s, i) => (<li key={s.id} id={`suggestion-${s.id}`} role=""option"" aria-selected={i === activeIndex} onClick={() => selectSuggestion(s)} className={`cursor-pointer px-3 py-2 text-sm ${i === activeIndex ? 'bg-blue-50 text-blue-600' : 'text-zinc-700 hover:bg-zinc-50'}`}>{highlightMatch(s.label, query)}</li>))}</ul>)}</div>","<input onChange={e => fetch(`/api/search?q=${e.target.value}`).then(r => setSuggestions(r))} /><div>{suggestions.map(s => <div onClick={() => pick(s)}>{s.label}</div>)}</div>","role=combobox; aria-autocomplete=list; role=listbox/option; aria-activedescendant; arrow keys + Enter; Escape closes","Full-width dropdown on mobile; suggestions within viewport; virtual keyboard does not obscure results; debounced input",High
62,Breadcrumb,Navigation Breadcrumb,"breadcrumb, path, trail, hierarchy, navigation, wayfinding","Navigation breadcrumb showing current page location in hierarchy","Use semantic nav with aria-label=Breadcrumb; ol/li structure; current page not a link; separator is decorative","Make breadcrumb the primary navigation; use as deep nesting (>4 levels); make current page clickable","<nav aria-label=""Breadcrumb""><ol className=""flex items-center gap-1.5 text-sm""><li><a href=""/"" className=""text-zinc-500 hover:text-zinc-700"">Home</a></li><li aria-hidden=""true"" className=""text-zinc-300"">/</li><li><a href=""/products"" className=""text-zinc-500 hover:text-zinc-700"">Products</a></li><li aria-hidden=""true"" className=""text-zinc-300"">/</li><li aria-current=""page"" className=""font-medium text-zinc-900"">Widget Pro</li></ol></nav>","<div>Home > Products > Widget Pro</div>","nav with aria-label=Breadcrumb; ol/li for semantic list; aria-current=page on last item; separators are aria-hidden","Truncate middle items on mobile; show only parent + current on small screens",Medium
63,Skeleton,Content Skeleton,"skeleton, placeholder, loading, shimmer, pulse, content-loading","Skeleton loading placeholder that mimics content layout during loading","Match skeleton shapes to actual content (lines for text, circles for avatars, rectangles for images); use subtle pulse animation","Show generic spinner instead of content-shaped skeleton; make skeleton too different from final layout; skip aria-busy","<div aria-busy=""true"" className=""animate-pulse space-y-3""><div className=""h-4 w-3/4 rounded bg-zinc-200 dark:bg-zinc-700"" /><div className=""h-4 w-1/2 rounded bg-zinc-200 dark:bg-zinc-700"" /><div className=""h-32 w-full rounded-lg bg-zinc-200 dark:bg-zinc-700"" /></div>","<div className=""text-center py-8"">Loading...</div>","aria-busy=true on container; aria-hidden on individual skeleton elements; screen reader announces loading state","Same responsive layout as real content; skeleton adapts to container width",High
64,Skeleton,Card Skeleton,"skeleton-card, card-loading, card-placeholder, content-card-loading","Skeleton specifically shaped as a card with image, title, and description placeholders","Mirror the exact card layout; consistent border-radius; subtle shimmer over pulse for premium feel","Use a completely different layout than the actual card; show spinner inside card shape","<div aria-busy=""true"" className=""animate-pulse rounded-xl border border-zinc-200 p-4 dark:border-zinc-700""><div className=""h-40 w-full rounded-lg bg-zinc-200 dark:bg-zinc-700"" /><div className=""mt-3 h-5 w-2/3 rounded bg-zinc-200 dark:bg-zinc-700"" /><div className=""mt-2 h-4 w-full rounded bg-zinc-200 dark:bg-zinc-700"" /><div className=""mt-2 h-4 w-4/5 rounded bg-zinc-200 dark:bg-zinc-700"" /></div>","<div className=""border p-4""><div className=""h-40 bg-gray-300"" /><p>Loading card...</p></div>","Same as Content Skeleton; aria-busy on card; preserve card dimensions to prevent layout shift","Same card grid layout as real cards; responsive columns maintained",Medium
65,Empty State,No Data,"empty, no-data, no-results, blank-state, zero-state, first-time","Empty state shown when a list or table has no data to display","Show relevant illustration/icon; explain why empty; provide clear CTA to populate data; be encouraging","Show nothing or just blank space; display technical error messages; blame the user","<div className=""flex flex-col items-center py-16 text-center""><div className=""mb-4 flex h-16 w-16 items-center justify-center rounded-2xl bg-zinc-100 dark:bg-zinc-800""><InboxIcon className=""h-8 w-8 text-zinc-400"" /></div><h3 className=""text-sm font-medium text-zinc-900 dark:text-zinc-100"">No items yet</h3><p className=""mt-1 text-sm text-zinc-500"">Get started by creating your first item.</p><button className=""mt-4 rounded-lg bg-blue-600 px-4 py-2 text-sm font-medium text-white hover:bg-blue-500"">Create item</button></div>","<div>No data found.</div>","Ensure CTA button is keyboard accessible; use heading for empty state title; descriptive text for screen readers","Center content on all screens; appropriate padding; CTA full-width on mobile",High
66,Empty State,Error State,"error, failed, broken, oops, something-went-wrong","Error state shown when data fetch or operation fails","Show friendly error message; provide retry button; suggest alternative actions; log error details for debugging","Show raw error messages or stack traces; blame the user; offer no recovery path","<div className=""flex flex-col items-center py-16 text-center"" role=""alert""><div className=""mb-4 flex h-16 w-16 items-center justify-center rounded-2xl bg-red-50 dark:bg-red-950""><ExclamationCircleIcon className=""h-8 w-8 text-red-500"" /></div><h3 className=""text-sm font-medium text-zinc-900 dark:text-zinc-100"">Something went wrong</h3><p className=""mt-1 text-sm text-zinc-500"">We could not load your data. Please try again.</p><button onClick={retry} className=""mt-4 rounded-lg bg-zinc-900 px-4 py-2 text-sm font-medium text-white hover:bg-zinc-800"">Try again</button></div>","<div className=""text-red-500"">Error: {error.message}</div>","role=alert for error announcement; retry button keyboard accessible; descriptive error for screen readers","Same centering as No Data state; consistent padding and spacing",High
67,Command Palette,Cmd+K Search,"command-palette, cmd-k, spotlight, quick-actions, omnibar, command-bar","Keyboard-triggered command palette for quick navigation and action execution","Trigger with Cmd/Ctrl+K; fuzzy search; show keyboard shortcuts; group results by category; close on Escape/click-outside","Require mouse to open; show all commands without filtering; lag on keystroke; skip keyboard navigation within results","<dialog className=""fixed inset-0 z-50 flex items-start justify-center bg-black/50 pt-[20vh]""><div className=""w-full max-w-lg rounded-xl border bg-white shadow-2xl dark:border-zinc-700 dark:bg-zinc-900""><div className=""flex items-center border-b px-4""><MagnifyingGlassIcon className=""h-5 w-5 text-zinc-400"" /><input autoFocus placeholder=""Type a command..."" className=""flex-1 bg-transparent px-3 py-3 text-sm outline-none"" /></div><ul role=""listbox"" className=""max-h-80 overflow-auto p-2"">{results.map((item, i) => (<li key={item.id} role=""option"" aria-selected={i === active} className=""flex items-center gap-3 rounded-lg px-3 py-2 text-sm cursor-pointer hover:bg-zinc-100"">{item.label}<kbd className=""ml-auto text-xs text-zinc-400"">{item.shortcut}</kbd></li>))}</ul></div></dialog>","<div className=""fixed inset-0""><input onChange={search} />{results.map(r => <div onClick={r.action}>{r.name}</div>)}</div>","role=listbox/option; aria-selected; autoFocus on input; arrow key navigation; Enter to execute; Escape to close","Full-screen overlay on mobile; larger tap targets; simplified result grouping",High
68,Data Grid,Sortable Table,"data-grid, sortable, filterable, table-advanced, column-sort, data-table","Advanced data table with sortable columns, pagination, and optional filtering","Add aria-sort on sortable headers; use button in th for sort trigger; show sort direction icon; maintain focus on sort","Sort without visual feedback; lose scroll position on sort; use anchor tags for sort headers","<table className=""w-full text-sm""><thead><tr className=""border-b""><th scope=""col""><button onClick={() => sort('name')} className=""flex items-center gap-1 px-4 py-3 font-medium"" aria-sort={sortCol === 'name' ? sortDir : 'none'}>Name {sortCol === 'name' && <ChevronIcon dir={sortDir} />}</button></th></tr></thead><tbody>{rows.map(r => <tr key={r.id} className=""border-b hover:bg-zinc-50""><td className=""px-4 py-3"">{r.name}</td></tr>)}</tbody></table>","<table><tr onClick={() => sort('name')}><th>Name</th></tr></table>","aria-sort on active column; button inside th; keyboard accessible sorting; announce sort changes via aria-live","Horizontal scroll with sticky first column on mobile; min-width on table",High
69,Drawer,Side Drawer/Sheet,"drawer, sheet, side-panel, slide-out, off-canvas, sidebar-panel","Slide-out panel from edge of screen for secondary content or forms","Trap focus inside drawer; close on Escape; provide close button; overlay background; animate from edge","Open without overlay; don't trap focus; no close mechanism; content under drawer still interactive","<div className=""fixed inset-0 z-50""><div className=""fixed inset-0 bg-black/50"" onClick={close} /><div className=""fixed right-0 top-0 h-full w-96 bg-white shadow-xl transition-transform dark:bg-zinc-900""><div className=""flex items-center justify-between border-b px-6 py-4""><h2 className=""text-lg font-semibold"">Details</h2><button onClick={close} aria-label=""Close drawer"" className=""rounded-lg p-2 hover:bg-zinc-100""><XMarkIcon className=""h-5 w-5"" /></button></div><div className=""overflow-y-auto p-6"">{children}</div></div></div>","<div className=""fixed right-0 w-96 bg-white"">{content}</div>","Focus trap; Escape to close; aria-label on close button; role=dialog; aria-modal=true","Full-width on mobile (<640px); slide from bottom on small screens as bottom sheet",Medium
70,Tabs,Horizontal Tabs,"tabs, tab-bar, tab-panel, segmented, horizontal-tabs, tab-navigation","Horizontal tabbed interface for switching between related content panels","Use role=tablist/tab/tabpanel; aria-selected on active tab; arrow keys for navigation; show one panel at a time","Use anchor navigation for tabs; show all panels; missing keyboard support; no aria roles","<div role=""tablist"" aria-label=""Settings"" className=""flex border-b"">{tabs.map((tab, i) => (<button key={tab.id} role=""tab"" aria-selected={active === i} aria-controls={`panel-${tab.id}`} tabIndex={active === i ? 0 : -1} onClick={() => setActive(i)} className={`px-4 py-2 text-sm font-medium border-b-2 ${active === i ? 'border-blue-600 text-blue-600' : 'border-transparent text-zinc-500 hover:text-zinc-700'}`}>{tab.label}</button>))}</div><div role=""tabpanel"" id={`panel-${tabs[active].id}`} aria-labelledby={`tab-${tabs[active].id}`}>{tabs[active].content}</div>","<div className=""flex"">{tabs.map(t => <div onClick={() => show(t)}>{t.name}</div>)}</div><div>{content}</div>","role=tablist/tab/tabpanel; aria-selected; arrow key navigation between tabs; tabIndex management; aria-controls/labelledby","Stack vertically on mobile or use horizontal scroll; full-width tabs on small screens",High
71,Tabs,Vertical Tabs,"vertical-tabs, sidebar-tabs, side-navigation, stacked-tabs","Vertical tabbed interface typically used in settings or configuration pages","Same ARIA roles as horizontal; use up/down arrow keys instead of left/right; clear active indicator","Mix horizontal and vertical tab keyboard patterns; use links instead of buttons for tabs","<div className=""flex""><div role=""tablist"" aria-label=""Settings sections"" aria-orientation=""vertical"" className=""w-48 border-r"">{tabs.map((tab, i) => (<button key={tab.id} role=""tab"" aria-selected={active === i} className={`block w-full px-4 py-2 text-left text-sm ${active === i ? 'bg-blue-50 text-blue-600 border-l-2 border-blue-600' : 'text-zinc-600 hover:bg-zinc-50'}`}>{tab.label}</button>))}</div><div role=""tabpanel"" className=""flex-1 p-6"">{tabs[active].content}</div></div>","<div className=""flex""><ul>{tabs.map(t => <li onClick={() => show(t)}>{t.name}</li>)}</ul><div>{content}</div></div>","aria-orientation=vertical; up/down arrow keys; same roles as horizontal tabs","Collapse to horizontal tabs or accordion on mobile",Medium
72,Badge,Status Badge,"badge, status, tag, label, indicator, chip","Small badge indicating status (active, inactive, pending, error)","Use semantic colors consistently; keep text short (1-2 words); provide aria-label when color is the only differentiator","Use badge for long text; rely on color alone for meaning; make badges interactive without clear affordance","<span className=""inline-flex items-center gap-1 rounded-full bg-green-50 px-2 py-0.5 text-xs font-medium text-green-700 dark:bg-green-900/30 dark:text-green-400""><span className=""h-1.5 w-1.5 rounded-full bg-green-500"" aria-hidden=""true"" />Active</span>","<span className=""bg-green-500 text-white px-2 py-1 rounded"">Active</span>","Don't rely on color alone; include text label; aria-label if meaning unclear from text alone","Same size across breakpoints; consider wrapping in flex container",Medium
73,Badge,Notification Badge,"notification, count, unread, dot, counter, indicator-badge","Small counter or dot indicating unread notifications or pending items","Keep count visible; use aria-label to describe count; cap display at 99+; position relative to icon","Make badge too large; show exact count over 99; skip accessibility annotation","<button className=""relative"" aria-label=""Notifications (3 unread)""><BellIcon className=""h-6 w-6"" /><span aria-hidden=""true"" className=""absolute -right-1 -top-1 flex h-5 w-5 items-center justify-center rounded-full bg-red-500 text-xs font-bold text-white"">{count > 99 ? '99+' : count}</span></button>","<button><BellIcon /><span className=""bg-red-500 text-white text-xs"">{count}</span></button>","aria-label on parent button with count; aria-hidden on visual badge; screen reader gets count from label","Badge scales with icon; consistent positioning across screen sizes",Medium
74,Stepper,Progress Stepper,"stepper, wizard, multi-step, progress, step-indicator, wizard-steps","Step indicator for multi-step forms or wizards showing progress","Number steps clearly; show completed/current/upcoming states; allow clicking completed steps to go back","Use only dots without labels; prevent going back to completed steps; no step count indicator","<nav aria-label=""Progress""><ol className=""flex items-center"" role=""list"">{steps.map((step, i) => (<li key={step.id} className=""flex items-center gap-2""><span className={`flex h-8 w-8 items-center justify-center rounded-full text-sm font-medium ${i < current ? 'bg-blue-600 text-white' : i === current ? 'border-2 border-blue-600 text-blue-600' : 'border-2 border-zinc-300 text-zinc-400'}`} aria-current={i === current ? 'step' : undefined}>{i < current ? <CheckIcon /> : i + 1}</span><span className=""text-sm"">{step.label}</span>{i < steps.length - 1 && <div className=""h-px w-8 bg-zinc-300"" aria-hidden=""true"" />}</li>))}</ol></nav>","<div className=""flex"">{steps.map((s, i) => <div className={i <= current ? 'text-blue-600' : ''}>{i+1}. {s.name}</div>)}</div>","nav with aria-label=Progress; ol/li for semantic list; aria-current=step on active; completed steps focusable","Simplify to horizontal numbered list on mobile; show step X of Y",Medium
75,Alert,Inline Alert,"alert, banner, notification-inline, message, callout, info-box","Inline alert/callout for contextual feedback within the page","Use role=alert for urgent messages; appropriate colors per type (info/success/warning/error); include dismiss option","Auto-dismiss important alerts; use alert for non-urgent info; place far from relevant content","<div role=""alert"" className=""flex items-start gap-3 rounded-lg border border-blue-200 bg-blue-50 p-4 text-sm dark:border-blue-800 dark:bg-blue-950""><InformationCircleIcon className=""h-5 w-5 shrink-0 text-blue-500"" aria-hidden=""true"" /><div><p className=""font-medium text-blue-800 dark:text-blue-200"">New feature available</p><p className=""mt-1 text-blue-700 dark:text-blue-300"">Check out the new dashboard analytics.</p></div><button aria-label=""Dismiss"" className=""ml-auto shrink-0 rounded p-1 hover:bg-blue-100""><XMarkIcon className=""h-4 w-4 text-blue-500"" /></button></div>","<div className=""bg-blue-100 p-2"">New feature available</div>","role=alert for important; role=status for informational; dismiss button with aria-label; icon is aria-hidden","Full-width on mobile; consistent padding; stack icon and text vertically if very narrow",High
76,Pagination,Page Pagination,"pagination, paging, page-numbers, prev-next, data-navigation","Navigation for paginated data with page numbers and prev/next buttons","Use nav with aria-label=Pagination; current page with aria-current=page; disable prev on first / next on last","Show too many page numbers; skip keyboard navigation; no indication of current page","<nav aria-label=""Pagination"" className=""flex items-center gap-1""><button disabled={page === 1} className=""rounded-lg px-3 py-2 text-sm disabled:opacity-50"" aria-label=""Previous page"">Prev</button>{pages.map(p => (<button key={p} aria-current={p === page ? 'page' : undefined} className={`rounded-lg px-3 py-2 text-sm ${p === page ? 'bg-blue-600 text-white' : 'hover:bg-zinc-100'}`}>{p}</button>))}<button disabled={page === totalPages} className=""rounded-lg px-3 py-2 text-sm disabled:opacity-50"" aria-label=""Next page"">Next</button></nav>","<div>{pages.map(p => <span onClick={() => go(p)}>{p}</span>)}<span onClick={next}>></span></div>","nav with aria-label; aria-current=page; disabled state on boundaries; keyboard accessible buttons","Show fewer page numbers on mobile; prev/next always visible; consider mobile-friendly page selector",Medium
77,Spinner,Loading Spinner,"spinner, loading, circular-progress, busy-indicator, loading-icon","Animated circular spinner indicating loading or processing state","Use role=status with aria-label; keep spinner small and non-blocking; provide text alternative; use appropriate size","Use spinner as only feedback for long operations; block entire UI; show spinner without context","<div role=""status"" aria-label=""Loading""><svg className=""h-5 w-5 animate-spin text-blue-600"" viewBox=""0 0 24 24"" fill=""none""><circle className=""opacity-25"" cx=""12"" cy=""12"" r=""10"" stroke=""currentColor"" strokeWidth=""4"" /><path className=""opacity-75"" fill=""currentColor"" d=""M4 12a8 8 0 018-8V0C5.373 0 0 5.373 0 12h4z"" /></svg><span className=""sr-only"">Loading</span></div>","<div className=""animate-spin border-4 border-blue-600 rounded-full h-8 w-8"" />","role=status; aria-label=Loading; sr-only text; prefers-reduced-motion: show static indicator","Size variants: sm (16px) md (20px) lg (32px); consistent across breakpoints",Medium
78,Error Boundary,React Error Boundary,"error-boundary, fallback-ui, crash-recovery, error-handler, react-error","Component that catches render errors and displays fallback UI instead of crashing","Show user-friendly message; provide retry/reload button; log error to monitoring service; preserve layout","Show white screen; expose stack traces to users; lose all state without recovery option","<ErrorBoundary fallback={<div className=""flex flex-col items-center py-16""><ExclamationTriangleIcon className=""h-12 w-12 text-amber-500"" /><h2 className=""mt-4 text-lg font-semibold"">Something went wrong</h2><p className=""mt-2 text-sm text-zinc-500"">An unexpected error occurred.</p><button onClick={() => window.location.reload()} className=""mt-4 rounded-lg bg-zinc-900 px-4 py-2 text-sm text-white"">Reload page</button></div>}>{children}</ErrorBoundary>","/* No error boundary — app crashes to white screen */","Fallback UI must be keyboard accessible; aria-live for error announcement; preserve navigation if possible","Same responsive behavior as normal content; centered fallback on all screens",Critical
79,404 Page,Not Found Page,"404, not-found, missing-page, page-not-found, dead-link","Custom 404 page shown when a route doesn't exist","Show friendly message; provide search or navigation options; match site design; include link to home","Show default browser 404; expose server details; provide no way back; show blank page","<div className=""flex min-h-[60vh] flex-col items-center justify-center text-center""><h1 className=""text-6xl font-bold text-zinc-200 dark:text-zinc-700"">404</h1><h2 className=""mt-4 text-xl font-semibold text-zinc-900 dark:text-zinc-100"">Page not found</h2><p className=""mt-2 text-sm text-zinc-500"">The page you are looking for does not exist or has been moved.</p><div className=""mt-6 flex gap-3""><a href=""/"" className=""rounded-lg bg-blue-600 px-4 py-2 text-sm font-medium text-white hover:bg-blue-500"">Go home</a><a href=""/search"" className=""rounded-lg border border-zinc-300 px-4 py-2 text-sm font-medium text-zinc-700 hover:bg-zinc-50"">Search</a></div></div>","<h1>404</h1><p>Not Found</p>","Semantic heading structure; links keyboard accessible; descriptive title for screen readers","Centered on all screens; appropriate spacing; buttons stack on mobile",Medium
