No,Category,Pattern,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
30,Components,Table Component Dark,table data grid rows columns,Tables with alternating rows need dark-adapted zebra striping. Use very subtle background differences and ensure borders do not overpower the data.,"Use zinc-950 base with zinc-900 alternating rows / zinc-800 borders / zinc-200 header text / and zinc-300 body text",Use high-contrast alternating colors or heavy borders — the table looks like a spreadsheet rather than a refined data display,<tr class='dark:even:bg-zinc-900/50'><th class='dark:text-zinc-200 dark:border-zinc-800'><td class='dark:text-zinc-300'>,<tr class='dark:even:bg-zinc-700'><td class='dark:border-zinc-500'> /* too much contrast */,Medium
31,Components,Dropdown and Menu Dark,dropdown menu popover select listbox,"Dropdowns and menus appear above other content and need clear visual separation in dark mode through background/border/and shadow (or border-as-shadow).","Use zinc-900 bg with zinc-800 border / subtle ring-1 ring-white/5 for depth / and zinc-800 hover state for menu items",Use the same background as the surface below — the dropdown blends in and users cannot tell where the menu begins and the content ends,<ul class='dark:bg-zinc-900 dark:border dark:border-zinc-800 dark:ring-1 dark:ring-white/5'><li class='dark:hover:bg-zinc-800'>,<ul class='dark:bg-zinc-950'> /* same as page bg / no separation */,High
32,Toggle & System,Respect prefers-color-scheme,system preference media query auto,The initial dark mode state should respect the user's OS-level color scheme preference using the prefers-color-scheme media query.,Check prefers-color-scheme on first visit and apply the matching theme; allow manual override that persists via localStorage,Ignore system preference and default to light mode — users who set dark mode system-wide expect your app to follow automatically,"if (window.matchMedia('(prefers-color-scheme: dark)').matches) document.documentElement.classList.add('dark')","document.documentElement.classList.add('light') /* ignores system preference */",Critical
33,Toggle & System,Persist Preference,localStorage persist remember toggle,"Once a user manually selects a theme store that preference so it persists across sessions and page loads without flashing the wrong theme.","Store theme preference in localStorage and apply it synchronously in a blocking <script> in <head> to prevent flash of wrong theme (FOWT)","Store preference only in React state or a cookie that loads asynchronously — this causes a visible flash of light mode on every page load for dark mode users","<script>document.documentElement.classList.toggle('dark' localStorage.theme === 'dark' || (!localStorage.theme && matchMedia('(prefers-color-scheme:dark)').matches))</script>","useEffect(() => { setTheme(localStorage.theme) }) /* causes FOUC */",Critical
34,Toggle & System,Smooth Transition,transition animation toggle switch,"When toggling between light and dark mode apply a brief CSS transition to all color properties to prevent jarring instant switches.","Add a global transition (150-200ms) on color/background-color/and border-color when theme changes then remove the transition class to avoid interfering with other animations",Apply permanent transitions on all elements — this slows down every interaction and causes colors to lag during scrolling and hovering,"document.documentElement.classList.add('transitioning') /* CSS: .transitioning * { transition: background-color 200ms / color 200ms } */","* { transition: all 300ms } /* permanent transition on everything / performance nightmare */",Medium
35,Toggle & System,System Sync Toggle,sync system auto manual three-way,Offer a three-way toggle: Light / Dark / and System (auto). The System option syncs with OS preference in real-time via matchMedia listener.,Provide Light/Dark/System options; System mode adds a matchMedia change listener that updates the theme when the OS preference changes,Only provide Light/Dark toggle without System option — users who change OS theme throughout the day must manually toggle your app each time,"const mq = matchMedia('(prefers-color-scheme:dark)'); mq.addEventListener('change' (e) => applyTheme(e.matches ? 'dark' : 'light'))",/* only two options: light/dark / no system sync */,High
36,Performance,OLED Battery Savings,OLED battery power consumption black,On OLED/AMOLED displays truly black pixels (#000000) are turned off completely consuming zero power. Dark mode with large black areas can save 30-60% display power.,Offer an OLED mode using #000000 for large surface areas (base bg / sidebars) while keeping elevated surfaces slightly lighter for hierarchy,"Use dark gray (#121212) everywhere including on OLED mode — while comfortable it does not achieve the battery savings that motivate many OLED users to use dark mode","@media (dynamic-range: high) { :root.dark.oled { --bg-base: #000000 } }",/* no OLED optimization / same dark gray on all displays */,Medium
37,Performance,Reduced Paint with Dark BG,paint render performance GPU,Dark backgrounds reduce the energy needed for pixel rendering on most displays and can reduce GPU paint time for large gradient or animated areas.,Use solid dark colors for large surfaces instead of gradients to reduce paint complexity; reserve gradients for small accent areas,Use complex dark gradients or animated dark backgrounds as base surfaces — they increase GPU paint time and battery usage on mobile,<main class='dark:bg-zinc-950'> /* simple solid bg */,<main class='dark:bg-gradient-to-br dark:from-gray-900 dark:via-slate-900 dark:to-zinc-900'> /* heavy gradient base */,Medium
38,Performance,CSS Custom Properties for Theming,CSS variables custom properties token,Use CSS custom properties (--color-*) as design tokens for theming. This enables instant theme switching without class-based overrides on every element.,"Define all theme colors as CSS custom properties in :root and .dark then reference them throughout the app — theme changes update instantly via one class toggle","Hardcode Tailwind dark: variants on every single element — this bloats HTML / increases bundle size / and makes theme changes require touching every component","<style>:root{--bg:white;--text:#111}.dark{--bg:#121212;--text:#E5E5E5}</style> <div style='background:var(--bg);color:var(--text)'>",/* 20+ dark: classes per component across hundreds of elements */,High
39,Accessibility,Astigmatism Consideration,astigmatism halation blur eye,"Approximately 50% of people have some degree of astigmatism causing bright text on dark backgrounds to appear blurred (halation). Avoid pure black backgrounds and pure white text.","Use #121212 to #1A1A1A backgrounds with #E5E5E5 text; this reduces halation while maintaining excellent contrast for users with astigmatism","Use #000000 background with #FFFFFF text — the extreme contrast exacerbates halation making text appear to spread and blur for roughly half of all users",<body class='dark:bg-zinc-950 dark:text-zinc-200'> /* zinc-950=#09090b soft and accessible */,<body class='dark:bg-black dark:text-white'> /* maximum halation */,Critical
40,Accessibility,Dyslexia and Extreme Contrast,dyslexia reading contrast comfort,"Users with dyslexia can find extremely high contrast more difficult to read. Offer a reduced-contrast reading mode or ensure body text uses slightly softened colors.","Provide a comfortable default (zinc-300 on zinc-950 ~11:1) and optionally a high-contrast mode for users who need it — accommodating both dyslexic and low-vision users",Only offer maximum contrast with no alternative — this forces dyslexic users to endure uncomfortable reading conditions with no recourse,<article class='dark:text-zinc-300'> /* ~11:1 ratio comfortable default */ /* optional: .high-contrast .dark article { color: #F5F5F5 } */,<article class='dark:text-white'> /* forced 21:1 on black / no option to reduce */,High
