No,Category,Pattern,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
11,Navigation,Mega Menu,"mega menu, dropdown menu, large nav, expanded nav","Expanded dropdown showing categorized links, featured content, or product previews. For sites with many pages.","Open on hover (desktop) or click (mobile). Group items with headings. Include images/icons for visual interest. Close on outside click. Add subtle entrance animation.","Don't use mega menu for sites with <10 pages. Don't make it cover full viewport height. Don't auto-open on page load. Don't forget keyboard navigation.","<div class=""absolute top-full left-0 w-full bg-white shadow-xl rounded-b-2xl p-8 grid grid-cols-4 gap-8""><div><h3 class=""font-semibold text-sm text-gray-400 uppercase"">Products</h3><a>Item 1</a></div></div>","<div class=""dropdown""><a>Link</a><a>Link</a></div> <!-- No grouping, no visual hierarchy -->",LOW
12,Navigation,Tab Navigation,"tabs, tab bar, section tabs, content tabs","Horizontal tabs for switching between content sections within a page. Common in settings, dashboards, profiles.","Use accessible tabs (role=tablist/tab/tabpanel, aria-selected). Show active tab clearly. Use border-bottom or bg color for active state. Support keyboard arrows.","Don't use too many tabs (max 6-7). Don't nest tabs within tabs. Don't use tabs for sequential steps (use stepper instead).","<div role=""tablist"" class=""flex border-b""><button role=""tab"" aria-selected=""true"" class=""px-4 py-2 border-b-2 border-blue-600 text-blue-600"">Tab 1</button><button role=""tab"" aria-selected=""false"" class=""px-4 py-2 text-gray-500"">Tab 2</button></div>","<div class=""flex""><span class=""active"">Tab1</span><span>Tab2</span></div> <!-- No roles, no aria, no keyboard support -->",MEDIUM
13,Navigation,Pagination,"pagination, page numbers, next previous, paging","Navigate between pages of content (blog posts, search results, product lists). Show current page and total.","Show current page highlighted. Include Previous/Next buttons. Show first/last page numbers. Use aria labels. Disable Previous on first page, Next on last.","Don't show all page numbers for 100+ pages (use ellipsis). Don't use infinite scroll without option to paginate. Don't forget to preserve scroll position.","<nav aria-label=""Pagination"" class=""flex gap-2""><button disabled class=""px-3 py-1 text-gray-400"">Prev</button><button class=""px-3 py-1 bg-blue-600 text-white rounded"">1</button><button class=""px-3 py-1"">2</button><button class=""px-3 py-1"">Next</button></nav>","<div><a>1</a><a>2</a><a>3</a>...<a>99</a></div> <!-- All pages shown, no prev/next, no aria -->",MEDIUM
14,Navigation,Skip to Content Link,"skip link, skip navigation, a11y nav, accessibility skip","Hidden link that becomes visible on focus, allows keyboard users to skip directly to main content.","Place as first focusable element in DOM. Make visible on focus with transition. Link to #main-content id. Use clear text 'Skip to main content'.","Don't remove skip link for visual design reasons. Don't make it permanently visible (only on focus). Don't forget the matching id on main content.","<a href=""#main-content"" class=""sr-only focus:not-sr-only focus:absolute focus:top-4 focus:left-4 focus:z-[100] focus:bg-white focus:px-4 focus:py-2 focus:rounded-lg focus:shadow-lg"">Skip to main content</a><main id=""main-content"">...</main>","<!-- No skip link at all -->",HIGH
15,Navigation,Auth Page Cross-Links,"auth links, signin signup link, login register link, auth navigation","Sign In and Sign Up pages must always link to each other. Users frequently need to switch between them.","Sign In: 'Don't have an account? Sign up' below form. Sign Up: 'Already have an account? Sign in' below form. Sign In: 'Forgot password?' link near password field.","Don't hide cross-links. Don't use ambiguous text. Don't forget Forgot Password on Sign In page.","<div class=""text-center mt-6 text-sm text-gray-600"">Don't have an account? <a href=""/signup"" class=""text-blue-600 font-medium hover:underline"">Sign up for free</a></div>","<!-- Sign In page with no mention of Sign Up --> <!-- Dead end for new users -->",CRITICAL
16,Information Architecture,Page Hierarchy,"sitemap, hierarchy, structure, information architecture, site map","Logical organization of pages into a clear hierarchy. Important pages within 3 clicks of homepage.","Landing → Features/Pricing/About/Blog/Contact. Auth: Sign In/Sign Up/Forgot Password. App: Dashboard → Settings/Profile. Blog: List → Post → Related.","Don't create pages deeper than 3 levels. Don't have orphan pages. Don't duplicate content across multiple URLs.","/ (Landing) → /pricing → /signup → /dashboard → /settings | /blog → /blog/post-slug | /about, /contact","/ → /category/subcategory/sub-sub/item/detail → 5+ levels deep",HIGH
17,Information Architecture,URL Structure,"url, slug, path, routing, url pattern","Clean, descriptive URLs that reflect page hierarchy. Use lowercase, hyphens, no special characters.","Use descriptive slugs (/blog/how-to-build-api). Keep URLs short (<75 chars). Use consistent patterns (/blog/:slug, /products/:id). Match URL to breadcrumbs.","Don't use query params for primary content (?page=about). Don't use underscores or camelCase. Don't include file extensions (.html). Don't use IDs only (/post/12345).","/pricing, /blog/getting-started-with-nextjs, /products/wireless-headphones, /dashboard/settings","/?p=123, /Blog/MyPost, /products/item.html, /dashboard/Settings_Page",MEDIUM
18,Navigation,Active State Indicator,"active state, current page, selected nav, active link","Currently active page/section must be visually distinguished in navigation. Users must know where they are.","Use color change + font weight + border/background for active state. Apply to both sidebar and top nav. Update on route change. Use aria-current='page'.","Don't rely only on color change (add border or background too). Don't forget to update active state on client-side navigation. Don't highlight parent when child is active (highlight both).","<a href=""/dashboard"" class=""flex items-center gap-3 px-3 py-2 rounded-lg bg-blue-50 text-blue-700 font-medium"" aria-current=""page"">Dashboard</a>","<a href=""/dashboard"" class=""text-blue-600"">Dashboard</a> <!-- Only color, same as hover, confusing -->",HIGH
19,Navigation,Search in Navigation,"nav search, search bar, global search, search input","Global search functionality accessible from navigation. Allows users to find content across the entire site/app.","Place search in top nav (right side or center). Use Cmd/Ctrl+K shortcut. Show search icon on mobile. Include search suggestions/autocomplete. Use proper input with type='search'.","Don't hide search behind multiple clicks. Don't use search without results page. Don't make search too small on desktop (<200px).","<div class=""relative""><input type=""search"" placeholder=""Search... (Ctrl+K)"" class=""w-64 pl-10 pr-4 py-2 rounded-lg border bg-gray-50 focus:bg-white focus:ring-2"" /><svg class=""absolute left-3 top-1/2 -translate-y-1/2 w-4 h-4 text-gray-400"">search icon</svg></div>","<input type=""text"" placeholder=""Search""> <!-- No icon, no shortcut hint, wrong type -->",MEDIUM
20,Navigation,User Menu Dropdown,"user menu, avatar dropdown, account menu, profile dropdown","Dropdown menu triggered by user avatar/name in navigation. Contains profile, settings, and logout links.","Show user avatar + name. Include Profile, Settings, Billing (if applicable), and Logout. Use dividers between groups. Close on outside click. Add keyboard navigation.","Don't hide logout deep in settings. Don't show user menu to unauthenticated users. Don't forget hover/focus states on menu items.","<div class=""relative""><button class=""flex items-center gap-2""><img src=""avatar.jpg"" class=""w-8 h-8 rounded-full"" alt=""User"" /><span>John</span></button><div class=""absolute right-0 top-full mt-2 w-48 bg-white rounded-xl shadow-lg py-2""><a class=""px-4 py-2 hover:bg-gray-50"">Profile</a><a class=""px-4 py-2 hover:bg-gray-50"">Settings</a><hr class=""my-1""/><a class=""px-4 py-2 text-red-600 hover:bg-red-50"">Log out</a></div></div>","<a href=""/profile"">Profile</a> <!-- Just a link, no dropdown, no avatar, no logout -->",HIGH
