No,Category,Pattern,Keywords,Description,Do,Don't,Breakpoint,Code Example Good,Code Example Bad,Severity
11,Layout,Masonry Responsive Layout,"masonry, pinterest, waterfall, columns, responsive masonry","Implement masonry/waterfall layouts that reduce column count on smaller screens.",Use CSS columns or a masonry library with responsive column counts that decrease on mobile.,Use a fixed column count masonry layout that creates extremely narrow columns on mobile.,All,"className=""columns-1 sm:columns-2 lg:columns-3 xl:columns-4 gap-4""","className=""columns-4"" /* four 94px columns on a 375px screen — unreadable */",Medium
12,Layout,Container Query Layout Switching,"container layout, @container, component grid, adaptive component","Use container queries to switch component layout based on available width not viewport.",Wrap components in a container context and use @container to adapt internal layout.,Rely solely on viewport breakpoints for layout changes inside reusable components.,Container-based,"<div className=""@container""><div className=""grid grid-cols-1 @lg:grid-cols-2"">...</div></div>","/* Sidebar card uses md:grid-cols-2 but sidebar is only 320px — layout breaks */",High
13,Layout,CSS Subgrid Alignment,"subgrid, nested grid, alignment, consistent columns","Use CSS subgrid to let child elements participate in a parent grid for consistent alignment across cards.",Use subgrid on child elements so nested content aligns to the parent grid tracks.,Manually set matching heights/widths on nested elements to fake grid alignment.,All,"style={{ display: 'grid', gridTemplateRows: 'subgrid', gridRow: 'span 3' }}","/* Setting fixed height on every card section to force alignment — breaks with dynamic content */",Medium
14,Typography,Fluid Font Size Scale,"fluid font, responsive text, viewport scaling, type scale","Scale font sizes fluidly between breakpoints using clamp() or Tailwind's fluid utilities.",Use a fluid type scale where all heading levels scale proportionally from mobile to desktop.,Set completely different type scales at each breakpoint with no relationship between them.,All,"/* h1 */ className=""text-[clamp(1.75rem,4vw,3rem)]"" /* h2 */ className=""text-[clamp(1.25rem,3vw,2rem)]""","className=""text-xl md:text-2xl lg:text-4xl xl:text-6xl"" /* ratio changes wildly at each bp */",High
15,Typography,Responsive Line Height,"line-height, leading, readability, text block, paragraph","Adjust line-height relative to font size and line length so text remains readable at all screen widths.",Use tighter line-height (1.4-1.5) on mobile and slightly looser (1.6-1.75) on wider screens where line length increases.,Use a fixed line-height like 24px across all breakpoints regardless of font size changes.,All,"className=""leading-snug md:leading-normal lg:leading-relaxed""","style={{ lineHeight: '24px' }} /* fixed px line-height with fluid font-size — broken ratio */",Medium
16,Typography,Responsive Heading Scale,"heading, h1-h6, scale ratio, hierarchy, type ramp","Maintain clear heading hierarchy at all sizes with proportional scaling between levels.",Maintain consistent heading ratios (e.g. 1.2x between levels) that compress slightly on mobile.,Use massive desktop heading sizes that dominate mobile screens or compress hierarchy too much.,< 640px,"/* Mobile: 1.5/1.25/1.125rem Desktop: 3/2.25/1.75rem — consistent 1.33 ratio */","className=""text-6xl"" /* 60px heading on a 375px screen — two words per line */",High
17,Typography,Text Truncation and Ellipsis,"truncation, ellipsis, overflow, line-clamp, text-overflow","Truncate overflowing text with ellipsis rather than letting it break layouts on small screens.",Use line-clamp or text-ellipsis to handle overflow with visual indication of truncated content.,Let long text overflow its container or break layout structure on narrow screens.,< 768px,"className=""line-clamp-2"" /* or */ className=""truncate""","className=""whitespace-nowrap"" /* without overflow handling — horizontal scroll */",High
18,Typography,Readable Line Length,"measure, ch units, max-width, readability, line length, prose","Constrain text blocks to a readable line length (45-75 characters) on wide screens.",Set max-width on text containers using ch units or Tailwind prose to maintain 45-75ch line length.,Let paragraph text span the full width of a 1440px viewport creating 150+ character lines.,768px+,"className=""max-w-prose mx-auto"" /* or */ className=""max-w-[65ch]""","className=""w-full px-4"" /* text spans 1400px on desktop — unreadable */",High
19,Images,Responsive Images with srcset,"srcset, sizes, responsive image, resolution switching, art direction","Serve appropriately sized images for each viewport to avoid downloading oversized assets on mobile.",Use srcset and sizes attributes to let the browser choose the optimal image resolution.,Serve a single 2400px wide image to all devices including mobile on 3G connections.,All,"<img srcSet=""hero-400.webp 400w, hero-800.webp 800w, hero-1200.webp 1200w"" sizes=""(max-width:640px) 100vw, 50vw"" />","<img src=""hero-2400.jpg"" /> /* 2.4MB image downloaded on every device */",Critical
20,Images,Art Direction with Picture Element,"picture, source, art direction, crop, aspect ratio, media","Use the <picture> element to serve different image crops or aspect ratios at different breakpoints.",Use <picture> with <source> elements to serve portrait crops on mobile and landscape on desktop.,Use a single wide landscape image that becomes an unrecognizable sliver on mobile screens.,< 640px / 768px+,"<picture><source media=""(max-width:640px)"" srcSet=""hero-portrait.webp"" /><img src=""hero-landscape.webp"" /></picture>","<img src=""hero-wide.webp"" className=""w-full"" /> /* 21:9 image becomes 4px tall on mobile */",High
21,Images,Aspect Ratio Preservation,"aspect-ratio, image container, layout shift, CLS, responsive embed","Use CSS aspect-ratio to maintain proportions and prevent layout shift during image loading.",Set aspect-ratio on image containers to reserve space and prevent cumulative layout shift.,Use fixed height on image containers causing images to stretch or squish at different widths.,All,"className=""aspect-video w-full object-cover"" /* or */ className=""aspect-square""","className=""h-[400px] w-full"" /* image distorts as width changes across breakpoints */",High
22,Images,Lazy Loading Offscreen Images,"lazy loading, loading attribute, intersection observer, performance","Lazy load images that are below the fold to reduce initial page load time on all devices.",Add loading='lazy' to offscreen images and loading='eager' only to above-the-fold hero images.,Eager load all 50 images on a page causing 30MB initial download on mobile connections.,All,"<img loading=""lazy"" src=""product.webp"" /> /* browser handles lazy loading */","/* 50 <img> tags all loading eagerly on page mount — 30MB payload */",Critical
23,Images,Responsive Video Embed,"video, iframe, responsive embed, 16:9, aspect-ratio","Make embedded videos and iframes responsive while maintaining their aspect ratio.",Wrap video iframes in an aspect-ratio container that scales with viewport width.,Use fixed width/height on video iframes causing overflow or tiny videos on mobile.,All,"className=""aspect-video w-full""><iframe className=""w-full h-full"" src=""..."" /></div>","<iframe width=""560"" height=""315"" /> /* fixed size overflows on mobile */",High
24,Navigation,Hamburger Menu on Mobile,"hamburger, menu toggle, mobile nav, off-canvas, navigation","Collapse the main navigation into a hamburger menu on mobile to save screen real estate.",Collapse nav to hamburger below lg breakpoint with accessible toggle button and focus trap.,Show a full horizontal nav bar on mobile that wraps to 3 lines and pushes content down.,< 768px,"className=""hidden lg:flex"" /* nav links */ className=""lg:hidden"" /* hamburger button */","className=""flex flex-wrap"" /* nav items wrap into messy multi-line bar on mobile */",Critical
25,Navigation,Bottom Navigation on Mobile,"bottom nav, mobile tab bar, thumb zone, iOS, Android","Place primary navigation at the bottom of mobile screens within easy thumb reach.",Use a fixed bottom navigation bar on mobile for 3-5 primary actions within thumb reach zone.,Place all navigation at the top of mobile screens requiring thumb stretching to reach.,< 640px,"className=""fixed bottom-0 inset-x-0 flex justify-around py-2 sm:hidden""","/* All nav at top — user must stretch thumb to opposite corner on large phones */",High
26,Navigation,Sidebar to Drawer Conversion,"sidebar nav, drawer, sheet, overlay, responsive sidebar nav","Convert sidebar navigation to an overlay drawer on mobile with backdrop and close button.",Transform sidebar nav into a slide-in drawer with overlay backdrop on mobile screens.,Keep sidebar navigation always visible on mobile pushing content into an unusably narrow column.,< 768px,"className=""fixed inset-y-0 left-0 z-50 w-72 -translate-x-full md:translate-x-0 md:static transition-transform""","className=""w-64 shrink-0"" /* always visible sidebar leaves 111px for content on 375px */",Critical
27,Navigation,Tabs to Dropdown on Mobile,"tabs, dropdown, select, responsive tabs, overflow","Convert horizontal tabs to a dropdown select or scrollable tabs when screen space is limited.",Use a scrollable tab bar with overflow-x-auto or convert to a dropdown/select on mobile.,Display all tab items in a wrapping layout that creates a confusing multi-row tab interface.,< 640px,"className=""flex overflow-x-auto scrollbar-hide [&>*]:shrink-0""","className=""flex flex-wrap"" /* tabs wrap to 3 rows — which row is active? */",High
28,Navigation,Responsive Breadcrumb,"breadcrumb, truncation, collapsed, path, responsive breadcrumb","Truncate or collapse intermediate breadcrumb items on mobile showing only first and last items.",Collapse middle breadcrumb items into an ellipsis menu on mobile keeping first and last visible.,Show full 6-level breadcrumb that wraps to 3 lines on mobile screens.,< 640px,"/* Home > ... > Current Page (middle items collapsed into dropdown) */","/* Home > Products > Category > Subcategory > Item > Detail — wraps 3 lines on mobile */",Medium
29,Tables,Horizontal Scroll Table,"table scroll, overflow-x, scrollable table, responsive table","Wrap wide tables in a horizontally scrollable container on mobile rather than forcing squeeze.",Wrap table in a container with overflow-x-auto so users can horizontally scroll to see all data.,Squeeze all table columns into 375px making cell content unreadable at 8px font.,< 768px,"<div className=""overflow-x-auto""><table className=""min-w-[600px]"">...</table></div>","<table className=""w-full text-[8px]""> /* squished unreadable table */",Critical
30,Tables,Card Stack Table Pattern,"card layout, stacked, table to cards, mobile table, responsive table","Transform table rows into stacked cards on mobile with labels for each value.",Transform table rows into labeled card-style layouts on mobile using CSS or conditional rendering.,Display a traditional table layout on mobile where users must scroll both axes to find data.,< 640px,"className=""hidden md:table"" /* table */ className=""md:hidden space-y-4"" /* card stack for mobile */","/* Table with both horizontal and vertical scroll on mobile — lost in a 2D scroll maze */",High
31,Tables,Hide Non-Essential Columns,"column visibility, hidden columns, priority columns, responsive columns","Hide lower-priority table columns on smaller screens keeping only essential data visible.",Define column priority and hide non-essential columns on mobile with a 'show more' option.,Show all 12 columns on mobile making each column 31px wide with truncated data.,< 768px,"/* Name: always visible, Email: md+, Role: lg+, Created: xl+ */ className=""hidden md:table-cell""","/* All 12 columns visible at 375px — each column is 31px wide */",High
32,Tables,Responsive Table Headers,"sticky header, fixed header, scrollable body, table head","Keep table headers visible when scrolling through long tables on any device size.",Use sticky table headers so column context is maintained when scrolling through many rows.,Let headers scroll away so users lose context of what each column represents in long tables.,All,"<thead className=""sticky top-0 bg-white z-10"">...</thead>","/* Headers scroll off screen after 3 rows — what do these numbers mean? */",Medium
33,Forms,Responsive Form Layout,"form layout, stacked, inline, form grid, responsive form","Stack form fields vertically on mobile and use multi-column grid layouts on larger screens.",Stack all form fields vertically on mobile and use 2-3 column grid on wider screens.,Place form labels and inputs side by side on mobile creating tiny 120px input fields.,< 640px,"className=""grid grid-cols-1 md:grid-cols-2 gap-4""","className=""grid grid-cols-2"" /* two 170px wide inputs on mobile — barely typeable */",Critical
34,Forms,Touch Target Sizing,"touch target, tap area, button size, 44px, accessibility, finger","Ensure all interactive elements meet minimum touch target size (44x44px) on mobile devices.",Make all buttons and interactive elements at least 44x44px (48px preferred) on touch devices.,Use tiny 24x24px buttons and links that are nearly impossible to tap accurately on mobile.,< 768px,"className=""min-h-[44px] min-w-[44px] p-3"" /* accessible touch target */","className=""p-1 text-xs"" /* 24x20px tap target — frustrated users mis-tap constantly */",Critical
35,Forms,Keyboard Adaptation,"inputmode, autocomplete, virtual keyboard, mobile input, input type","Use appropriate inputmode and type attributes to show the right virtual keyboard on mobile.",Set inputmode='numeric' for number fields and type='email' for email to show optimized keyboards.,Use type='text' for all inputs forcing users to manually switch keyboard layouts on mobile.,< 768px,"<input type=""email"" inputMode=""email"" autoComplete=""email"" /> <input inputMode=""numeric"" pattern=""[0-9]*"" />","<input type=""text"" /> /* for email/phone/number — wrong keyboard shown on mobile */",High
36,Forms,Responsive Input Sizing,"input width, full-width, form control, field sizing","Make form inputs full-width on mobile and constrained width on desktop for optimal usability.",Use w-full on mobile inputs and max-w constraints on desktop to prevent overly wide fields.,Use fixed pixel widths on inputs that overflow on mobile or look lost on desktop.,All,"className=""w-full md:max-w-md""","className=""w-[400px]"" /* overflows 375px mobile and looks tiny on 1440px desktop */",High
37,Container Queries,Component-Level Responsiveness,"container query, component responsive, @container, intrinsic","Design components that respond to their container width rather than the viewport for true reusability.",Use container queries for components rendered in varying contexts (sidebars cards modals).,Use viewport media queries for components that appear in multiple different-sized containers.,Container-based,"<div className=""@container""><article className=""flex flex-col @md:flex-row"">...</article></div>","/* Same card component with viewport queries: works in main content but breaks in 300px sidebar */",High
38,Container Queries,@container Syntax and Setup,"@container, container-type, container-name, setup, configuration","Set up container query contexts correctly with container-type on parent elements.",Add @container class to parent element and use @sm/@md/@lg on children for container-responsive styles.,Forget to set container-type on the parent making @container child rules silently fail.,Container-based,"<div className=""@container""><div className=""@lg:grid-cols-3 grid-cols-1"">...</div></div>","<div><div className=""@lg:grid-cols-3"">...</div></div> /* missing @container on parent — rules ignored */",High
39,Container Queries,Container Query Units,"cqi, cqw, cqb, cqh, container units, relative sizing","Use container query units (cqi/cqw) for sizing relative to the container rather than viewport.",Use cqi/cqw units for padding and font-size that scale relative to the query container.,Use vw/vh units inside components expecting them to relate to the component size instead of viewport.,Container-based,"style={{ fontSize: '5cqi', padding: '3cqi' }} /* scales with container */","style={{ fontSize: '2vw' }} /* scales with viewport not container — wrong size in sidebar */",Medium
40,Container Queries,Container Query with Grid,"container grid, adaptive grid, container + grid, responsive component grid","Combine container queries with CSS Grid to create component-level adaptive grid layouts.",Combine @container with grid to create components whose column count adapts to available space.,Use viewport breakpoints for grid column counts inside components placed in different-width containers.,Container-based,"<div className=""@container""><div className=""grid grid-cols-1 @sm:grid-cols-2 @lg:grid-cols-3 gap-4"">...</div></div>","/* grid md:grid-cols-3 in a component used in a 400px sidebar — 3 columns of 120px each */",High
