No,Category,Pattern,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
11,Spacing,Component Internal Spacing,"card padding, component spacing, internal spacing, content padding","Consistent internal padding within components (cards, modals, sections, forms).","Cards: p-6 (24px). Modals: p-6 to p-8. Form groups: space-y-4 to space-y-6. Button groups: gap-3 to gap-4. List items: py-3 to py-4.","Don't use different padding for similar components. Don't use tight padding on touch devices (min p-4). Don't forget padding on all sides.","<div class=""bg-white rounded-xl p-6 shadow-sm""><h3 class=""text-lg font-semibold mb-2"">Card Title</h3><p class=""text-gray-600 mb-4"">Description</p><button class=""bg-blue-600 text-white px-4 py-2 rounded-lg"">Action</button></div>","<div class=""bg-white rounded-xl p-2""><h3>Cramped Card</h3><p>Too tight</p></div>",MEDIUM
12,Layout,Responsive Breakpoints,"breakpoints, responsive, mobile first, screen sizes","Use consistent breakpoints for responsive design. Mobile-first approach with Tailwind default breakpoints.","sm: 640px, md: 768px, lg: 1024px, xl: 1280px, 2xl: 1536px. Design mobile-first (base styles = mobile). Test at 375px, 768px, 1024px, 1440px.","Don't add custom breakpoints unless absolutely necessary. Don't forget to test between breakpoints (600px, 900px). Don't use max-width media queries (use min-width / mobile-first).","<div class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-6""><div>card</div></div> <!-- Mobile: 1 col, Tablet: 2, Desktop: 3 -->","<div class=""grid grid-cols-3 gap-6""><div>card</div></div> <!-- Broken on mobile, no responsive -->",HIGH
13,Layout,Page Transitions,"page transition, route animation, navigation animation, view transition","Smooth transitions between page navigations enhance perceived performance and UX.","Use CSS View Transitions API or Framer Motion page transitions. Fade-in for new content (opacity 0 to 1, 200-300ms). Use layout animations for shared elements.","Don't use slow transitions (>500ms) that delay content. Don't animate every element (just page container). Don't use slide animations for unrelated pages.","<main class=""animate-in fade-in duration-300"">page content</main> /* Or View Transitions API: ::view-transition-old(root) { animation: fade-out 200ms; } */","<main style=""animation: slideInFromLeft 1s"">every page slides from left, even unrelated pages</main>",LOW
14,Layout,Hero Section Layout,"hero layout, above fold, hero structure, first section","Hero section is the first visual section. Must communicate value prop immediately with clear visual hierarchy.","Hero height: min-h-[60vh] to min-h-screen. Content: headline (H1) + subheadline + CTA button(s). Layout: centered or split (text left, image right). Gradient or image background.","Don't make hero too short (less than 50vh). Don't put too much content above fold. Don't use auto-playing video with sound. Don't forget mobile hero layout.","<section class=""min-h-[80vh] flex items-center""><div class=""max-w-7xl mx-auto px-4 text-center""><h1 class=""text-5xl md:text-7xl font-bold"">Main Headline</h1><p class=""mt-6 text-xl text-gray-600 max-w-2xl mx-auto"">Subheadline</p><div class=""mt-10 flex gap-4 justify-center""><a class=""bg-blue-600 text-white px-8 py-4 rounded-xl text-lg"">Get Started</a></div></div></section>","<section class=""py-8""><h1 class=""text-2xl"">Welcome</h1><p>Some text</p></section> <!-- Too small, no visual impact -->",HIGH
15,Layout,Card Layout Consistency,"card grid, card layout, consistent cards, card design","Card-based layouts must have consistent sizing, spacing, and visual treatment across the page.","Use same border-radius for all cards. Same shadow level. Same padding (p-6). Same gap between cards (gap-6 or gap-8). Cards in a grid should have equal heights.","Don't mix rounded-lg and rounded-2xl cards. Don't use different shadows on same-level cards. Don't forget equal height (use grid or flex stretch).","<div class=""grid grid-cols-1 md:grid-cols-3 gap-8""><div class=""bg-white rounded-2xl p-6 shadow-sm border border-gray-100 flex flex-col"">card 1</div><div class=""bg-white rounded-2xl p-6 shadow-sm border border-gray-100 flex flex-col"">card 2</div></div>","<div class=""flex gap-4""><div class=""bg-white rounded-lg p-4 shadow"">card</div><div class=""bg-white rounded-2xl p-8 shadow-xl"">card with different style</div></div>",MEDIUM
16,Typography,Heading Hierarchy,"heading hierarchy, h1 h2 h3, heading levels, semantic headings","Pages must use a proper heading hierarchy (H1 → H2 → H3). Never skip levels. One H1 per page.","Exactly one H1 per page (main page title). H2 for major sections. H3 for sub-sections. Never skip from H1 to H3. Size: H1 text-4xl/5xl, H2 text-2xl/3xl, H3 text-xl/2xl.","Don't use multiple H1s. Don't skip heading levels (H1 → H3). Don't use headings for visual styling only (use font-size classes instead). Don't use H5/H6 (usually means too-deep nesting).","<h1 class=""text-5xl font-bold"">Page Title</h1><section><h2 class=""text-3xl font-semibold"">Features</h2><div><h3 class=""text-xl font-medium"">Feature 1</h3><p>Description</p></div></section>","<h1>Title</h1><h3>Skipped H2</h3><h1>Another H1</h1> <!-- Multiple H1s, skipped levels -->",CRITICAL
17,Layout,Form Layout,"form layout, form structure, input layout, form design","Forms should be well-structured with proper spacing, labels, and visual hierarchy.","Stack form fields vertically with space-y-4 or space-y-6. Use labels above inputs. Group related fields. Full-width inputs on mobile. 2-column for short fields on desktop (name, city).","Don't use inline labels on the left (hard to scan). Don't pack too many fields in one row. Don't forget error message space below inputs.","<form class=""space-y-6 max-w-md""><div><label class=""block text-sm font-medium mb-2"">Email</label><input type=""email"" class=""w-full px-4 py-3 rounded-lg border focus:ring-2 focus:ring-blue-500"" /></div><button class=""w-full bg-blue-600 text-white py-3 rounded-lg"">Submit</button></form>","<form><label>Email</label><input /><label>Name</label><input /> <!-- No spacing, no structure -->",HIGH
18,Layout,Modal/Dialog Layout,"modal, dialog, overlay, popup, lightbox","Modals overlay content with a backdrop. Must be accessible, dismissible, and properly positioned.","Center modal vertically and horizontally. Use backdrop (bg-black/50). Close on backdrop click + Escape key. Trap focus inside modal. Max-width based on content type (sm for confirm, lg for form).","Don't use modals for long content (use a page instead). Don't stack modals. Don't auto-open modals on page load (except critical alerts). Don't forget focus trap.","<div class=""fixed inset-0 z-[60] flex items-center justify-center""><div class=""absolute inset-0 bg-black/50"" onclick=""close()""></div><div class=""relative z-[70] bg-white rounded-2xl p-8 max-w-md w-full mx-4 shadow-2xl"">content</div></div>","<div class=""absolute top-20 left-20 bg-white p-4 shadow"">modal without backdrop, not centered, no close</div>",HIGH
19,Layout,Toast/Notification Position,"toast, notification, snackbar, alert, message","Toast notifications appear temporarily to provide feedback. Consistent positioning across the app.","Position: fixed top-4 right-4 or bottom-4 right-4. Z-index: z-[80] (above modals). Auto-dismiss after 3-5 seconds. Stack multiple toasts vertically. Include dismiss button.","Don't position toasts behind modals. Don't use center-screen toasts (blocks interaction). Don't make toasts persistent without dismiss option. Don't show more than 3 toasts at once.","<div class=""fixed top-4 right-4 z-[80] flex flex-col gap-2""><div class=""bg-white rounded-xl shadow-lg p-4 flex items-center gap-3 border animate-in slide-in-from-right""><span class=""text-green-600"">✓</span><span>Saved successfully</span><button>×</button></div></div>","<div class=""absolute top-0 left-0 right-0 bg-green-500 text-white p-2 text-center"">Success (blocks content, no dismiss, no animation)</div>",MEDIUM
20,Layout,Responsive Image Handling,"responsive image, image sizing, aspect ratio, image container","Images must be responsive, maintain aspect ratio, and not cause layout shift.","Use aspect-ratio or aspect-video/aspect-square classes. Set width and height attributes on img tags. Use object-cover for cropped images. Use next/image for Next.js (automatic optimization).","Don't use fixed pixel widths on images. Don't forget width/height attributes (causes CLS). Don't stretch images (use object-cover or object-contain). Don't load full-size images on mobile.","<div class=""aspect-video rounded-xl overflow-hidden""><img src=""hero.jpg"" alt=""Hero"" width=""1200"" height=""675"" class=""w-full h-full object-cover"" loading=""lazy"" /></div>","<img src=""hero.jpg"" style=""width:800px"" /> <!-- Fixed width, no responsive, no lazy load, causes CLS -->",HIGH
