No,Category,Criterion,WCAG Level,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Testing,Severity
11,Perceivable,1.3.1 Landmark Regions,A,"landmarks, nav, main, aside","Use HTML5 landmark elements to define page regions for screen reader navigation","Use <header> <nav> <main> <aside> <footer> as structural landmarks","Wrap everything in generic <div> elements with no semantic meaning","<body><header>...</header><nav>...</nav><main>...</main><footer>...</footer></body>","<body><div class=""header"">...</div><div class=""content"">...</div></body>",axe-core + screen reader landmarks,Medium
12,Perceivable,1.4.2 Audio Control,A,"audio, autoplay, pause","If audio plays automatically for more than 3 seconds provide a mechanism to pause stop or control volume","Provide visible pause/stop controls and never autoplay audio without user consent","Autoplay background music or audio with no way to stop or reduce volume","<audio controls><source src=""bg.mp3"" /></audio>","<audio autoplay loop><source src=""bg.mp3"" /></audio>",manual test,High
13,Perceivable,1.4.4 Resize Text,AA,"zoom, resize, responsive","Text can be resized up to 200% without loss of content or functionality","Use relative units (rem/em) and test at 200% browser zoom","Use fixed pixel sizes that break layout or clip text when zoomed","html { font-size: 100%; } p { font-size: 1rem; }","p { font-size: 14px; overflow: hidden; height: 20px; }",manual zoom test (200%),High
14,Operable,2.1.1 Keyboard Accessible,A,"keyboard, tab, enter, space","All functionality must be operable through a keyboard interface alone","Ensure all interactive elements are reachable and activatable via keyboard","Rely on mouse-only events like onClick on a <div> without keyboard handlers","<button onClick={handleAction}>Submit</button>","<div onClick={handleAction}>Submit</div>",keyboard test (Tab/Enter/Space),Critical
15,Operable,2.1.1 Custom Keyboard Controls,A,"keyboard, custom component, key handlers","Custom interactive components must handle appropriate keyboard events","Implement onKeyDown for Enter/Space on custom components with proper roles","Create clickable divs without keyboard event handling or ARIA roles","<div role=""button"" tabIndex={0} onKeyDown={(e) => { if (e.key === 'Enter' || e.key === ' ') handleClick(); }} onClick={handleClick}>Action</div>","<div onClick={handleClick} style=""cursor: pointer;"">Action</div>",keyboard test,Critical
16,Operable,2.1.2 No Keyboard Trap,A,"keyboard trap, focus, modal","Users must be able to navigate away from any component using only the keyboard","Ensure Tab and Shift+Tab move focus naturally and modals trap focus correctly within themselves","Create components where keyboard focus gets stuck with no way to exit","<dialog open><button>Close</button></dialog> /* focus trapped in dialog, Esc closes */","<div class=""modal"">/* no focus management, Tab escapes to background */</div>",keyboard test (Tab through entire page),Critical
17,Operable,2.1.4 Character Key Shortcuts,A,"shortcuts, single key, accesskey","If single character key shortcuts exist provide a way to turn off remap or activate only on focus","Allow users to disable or remap single-character shortcuts","Implement global single-key shortcuts (like 's' for search) that cannot be disabled","/* Shortcut only active when search input is focused */ input.onKeyDown((e) => { if (e.key === '/') openSearch(); })","document.onKeyDown((e) => { if (e.key === 's') openSearch(); })",keyboard test + manual review,Medium
18,Operable,2.4.1 Skip Links,A,"skip link, bypass blocks, navigation","Provide a mechanism to skip repeated blocks of content like navigation","Add a visually hidden skip link as the first focusable element that jumps to main content","Force users to tab through the entire navigation on every page","<a href=""#main"" className=""sr-only focus:not-sr-only focus:absolute focus:p-4"">Skip to main content</a><main id=""main"">...</main>","/* No skip link, 30 nav items before main content */",keyboard test (first Tab press),High
19,Operable,2.1.1 Focus Visible,AA,"focus, visible, indicator","Keyboard focus indicator must be clearly visible on all interactive elements","Use :focus-visible with a prominent outline that meets contrast requirements","Remove all focus styles with outline:none or use focus indicators that are barely visible","a:focus-visible { outline: 3px solid #2563eb; outline-offset: 2px; border-radius: 2px; }","*:focus { outline: none; }",keyboard test + visual inspection,Critical
20,Operable,2.2.1 Timing Adjustable,A,"timeout, session, extend","If a time limit exists users must be able to turn off adjust or extend it","Warn users before timeout and provide option to extend the session","Silently expire sessions or auto-submit forms without warning","/* Show modal 60s before timeout */ if (timeRemaining < 60) showExtendModal();","/* Session expired, redirect to login with no warning */ setTimeout(() => redirect('/login'), 300000);",manual test with timing,High
21,Operable,2.2.2 Pause Stop Hide,A,"animation, carousel, auto-play","Moving blinking or auto-updating content must have pause stop or hide controls","Provide visible controls to pause any auto-advancing carousel or animation","Auto-play carousels with no pause button or auto-scrolling content with no stop mechanism","<div role=""region"" aria-label=""Carousel""><button onClick={pause}>Pause</button>...</div>","<div className=""auto-carousel"">/* no controls, auto-advances every 3s */</div>",manual test,High
22,Operable,2.3.1 Three Flashes,A,"flashing, seizure, photosensitive","Content must not flash more than three times per second","Avoid flashing content entirely or keep below threshold of three flashes per second","Use rapid strobing effects blinking text or flashing banner advertisements","/* Gentle fade transition */ .alert { transition: opacity 0.3s ease; }","/* Rapid flash effect */ @keyframes flash { 0%,50% { opacity: 0; } 25%,75% { opacity: 1; } } .alert { animation: flash 0.2s infinite; }",Photosensitive Epilepsy Analysis Tool (PEAT),Critical
23,Operable,2.4.2 Page Titled,A,"title, page title, metadata","Every page must have a descriptive and unique title that describes its purpose","Set descriptive page titles that include page name and site name","Use the same generic title on every page or leave the default framework title","<title>Shopping Cart - My Store</title> /* or Next.js metadata export */","<title>React App</title>",manual review + axe-core,High
24,Operable,2.4.3 Focus Order,A,"focus order, tab order, logical","Focus order must be logical and follow the visual reading order of the page","Let natural DOM order determine focus sequence and use tabIndex='0' when needed","Use positive tabIndex values (tabIndex='5') which create unpredictable focus order","<nav><a href=""/"">Home</a><a href=""/about"">About</a></nav>","<a href=""/about"" tabIndex=""2"">About</a><a href=""/"" tabIndex=""1"">Home</a>",keyboard test (Tab through page),High
25,Operable,2.4.4 Link Purpose,A,"link text, descriptive links, context","The purpose of each link can be determined from the link text alone or with its context","Use descriptive link text that makes sense out of context","Use vague link text like 'click here' or 'read more' without additional context","<a href=""/pricing"">View pricing plans</a>","<a href=""/pricing"">Click here</a>",screen reader + manual review,High
26,Operable,2.4.5 Multiple Ways,AA,"search, sitemap, navigation","More than one way is available to locate a page within a set of pages","Provide navigation menu plus search and/or sitemap","Offer only a single navigation method with no search or alternative paths","/* Site has: main nav + search bar + breadcrumbs + sitemap page */","/* Only way to find pages is through a single hamburger menu */",manual review,Medium
27,Operable,2.4.6 Headings and Labels,AA,"headings, labels, descriptive","Headings and labels describe the topic or purpose of the content they introduce","Write headings and labels that clearly describe their section or input purpose","Use vague headings like 'Section 1' or form labels like 'Field' that give no context","<label htmlFor=""email"">Email address</label><input id=""email"" type=""email"" />","<label>Input 1</label><input />",manual review + axe-core,Medium
28,Operable,2.4.7 Focus Visible,AA,"focus, indicator, keyboard","Any keyboard operable UI has a visible focus indicator in all states","Ensure focus indicators remain visible even when elements are partially obscured","Allow sticky headers or overlapping elements to completely hide the focus indicator","button:focus-visible { outline: 3px solid #2563eb; outline-offset: 2px; position: relative; z-index: 1; }","/* Focus outline hidden behind sticky header with no z-index management */",keyboard test,Critical
29,Operable,2.4.11 Focus Not Obscured (Minimum),AA,"focus obscured, sticky, WCAG 2.2","When a UI component receives focus it is not entirely hidden by author-created content","Ensure sticky headers and footers do not completely cover focused elements","Let fixed-position banners or sticky navs fully obscure the focused element","/* Scroll focused element into view */ element.scrollIntoView({ block: 'nearest' }); /* Plus scroll-padding-top for sticky header */","/* Sticky header covers focused links below it with no scroll compensation */",keyboard test with sticky elements,High
30,Operable,2.5.7 Dragging Movements,AA,"drag, drop, alternative, WCAG 2.2","Functionality using dragging movements can be operated with a single pointer without dragging","Provide click-based alternatives for all drag-and-drop interactions","Require drag-and-drop as the only way to reorder items or move content","<div role=""listbox"">{items.map(item => (<div key={item.id}><span>{item.name}</span><button onClick={() => moveUp(item.id)}>Move up</button><button onClick={() => moveDown(item.id)}>Move down</button></div>))}</div>","/* Only drag handles, no button alternatives for reordering */",manual test (try without mouse drag),High
31,Operable,2.5.8 Target Size (Minimum),AA,"target size, touch, 24px, WCAG 2.2","Interactive targets must be at least 24x24 CSS pixels or have sufficient spacing","Ensure buttons and links have at least 24x24px target area with adequate spacing","Create tiny icon buttons or tightly packed link lists with targets smaller than 24px","button { min-width: 44px; min-height: 44px; } /* WCAG AAA is 44px, AA is 24px minimum */","<button style=""width: 16px; height: 16px;""><Icon size={12} /></button>",manual measurement + browser dev tools,High
32,Operable,2.5.1 Pointer Gestures,A,"gestures, multipoint, single pointer","Functionality requiring multipoint or path-based gestures has single-pointer alternative","Provide button alternatives for pinch-zoom swipe and multi-finger gestures","Require two-finger pinch or complex swipe patterns with no alternative controls","<div><button onClick={zoomIn}>+</button><button onClick={zoomOut}>-</button></div> /* Alternative to pinch zoom */","/* Map only supports pinch-to-zoom with no button controls */",manual test on mobile + desktop,High
33,Operable,2.4.13 Page Break Navigation,A,"pagination, page controls, keyboard","Pagination and page break controls must be keyboard accessible and clearly labeled","Use proper nav landmark with aria-label for pagination with clear current page indication","Use unlabeled div-based pagination that is not keyboard accessible","<nav aria-label=""Pagination""><a href=""?p=1"" aria-current=""page"">1</a><a href=""?p=2"">2</a></nav>","<div class=""pages""><span onClick={goToPage(1)}>1</span></div>",keyboard test + screen reader,Medium
34,Understandable,3.1.1 Language of Page,A,"lang, html lang, locale","The default human language of each page can be programmatically determined","Set the lang attribute on the <html> element to the correct language code","Omit the lang attribute or set it to the wrong language","<html lang=""en"">...</html>","<html>...</html> /* missing lang */",axe-core,High
35,Understandable,3.1.2 Language of Parts,AA,"lang, multilingual, inline","Parts of content in a different language from the page default are identified","Use the lang attribute on elements containing text in a different language","Mix languages without marking the language change on inline elements","<p>The French term <span lang=""fr"">mise en place</span> means everything in its place.</p>","<p>The French term mise en place means everything in its place.</p>",axe-core + manual review,Medium
36,Understandable,3.1.3 Unusual Words,AAA,"glossary, jargon, definitions","A mechanism is available for identifying definitions of unusual words or jargon","Provide a glossary tooltip or link to definition for technical terms and abbreviations","Use unexplained jargon acronyms or domain-specific terms without any definition","<abbr title=""Web Content Accessibility Guidelines"">WCAG</abbr>","WCAG /* no expansion or definition provided */",manual review,Medium
37,Understandable,3.2.1 On Focus,A,"focus, unexpected, context change","Receiving focus on a component does not trigger an unexpected change of context","Keep focus events for visual changes only like showing a tooltip","Navigate to a new page or open a popup when an element receives focus","input:focus { border-color: #2563eb; } /* visual only */","<input onFocus={() => window.location = '/other-page'} />",keyboard test,High
38,Understandable,3.2.2 On Input,A,"input, change, unexpected","Changing a form input does not automatically cause an unexpected change of context","Warn users before input changes trigger context changes or use a submit button","Auto-submit forms or navigate away when a dropdown selection changes","<select onChange={(e) => setFilter(e.target.value)}><option>Filter results</option></select> /* updates in-page only */","<select onChange={(e) => window.location = e.target.value}><option value=""/page1"">Page 1</option></select>",manual test,High
39,Understandable,3.2.3 Consistent Navigation,AA,"navigation, consistent, layout","Navigation mechanisms repeated across pages occur in the same relative order","Keep nav items in the same order across all pages with consistent placement","Rearrange navigation links differently on each page or section of the site","/* Same <Header /> component used across all pages with identical nav order */","/* Different nav order on /about vs /pricing vs /docs */",manual review across pages,Medium
40,Understandable,3.2.4 Consistent Identification,AA,"consistent, icons, labels","Components with the same functionality are identified consistently across pages","Use the same label icon and behavior for search buttons across the entire site","Label the search feature 'Search' on one page 'Find' on another and 'Look up' on a third","/* All pages: */ <button aria-label=""Search""><SearchIcon /> Search</button>","/* Home: 'Search' | About: 'Find' | Docs: 'Look up' — same function different labels */",manual review across pages,Medium
41,Understandable,3.3.1 Error Identification,A,"error, validation, form","Input errors are automatically detected and described to the user in text","Show specific error messages next to the invalid field with aria-describedby","Show only a red border with no text explanation of what went wrong","<input aria-invalid=""true"" aria-describedby=""email-err"" /><p id=""email-err"" role=""alert"">Please enter a valid email address.</p>","<input style=""border-color: red;"" /> /* no error message */",axe-core + screen reader,Critical
42,Understandable,3.3.2 Labels or Instructions,A,"labels, instructions, placeholder","Form inputs have visible labels or instructions that describe expected input","Use visible <label> elements associated with inputs via htmlFor/id","Rely solely on placeholder text as the only label for form inputs","<label htmlFor=""phone"">Phone number (e.g. +1-555-0123)</label><input id=""phone"" type=""tel"" />","<input placeholder=""Phone"" /> /* placeholder disappears on focus */",axe-core,High
43,Understandable,3.3.3 Error Suggestion,AA,"error, suggestion, correction","When an input error is detected and suggestions are known they are provided to the user","Suggest the correct format or valid options when the user makes an input error","Only say 'Invalid input' without explaining what valid input looks like","<p id=""date-err"" role=""alert"">Invalid date. Please use the format MM/DD/YYYY (e.g. 02/20/2026).</p>","<p role=""alert"">Invalid input.</p>",manual test with invalid input,High
44,Understandable,3.3.4 Error Prevention (Legal),AA,"confirmation, review, reversible","For pages with legal or financial commitments allow review confirmation or reversal","Provide a review step before final submission and allow users to undo or cancel","Submit financial transactions on a single click with no confirmation or review step","<div><h2>Review your order</h2><p>Total: $99</p><button onClick={confirm}>Confirm purchase</button><button onClick={goBack}>Go back</button></div>","<button onClick={chargeCreditCard}>Pay $99</button> /* no review, immediate charge */",manual test,High
45,Understandable,3.3.7 Redundant Entry,A,"redundant entry, re-enter, WCAG 2.2","Information previously entered by the user is auto-populated or available for selection","Auto-fill previously entered information or let users select from prior entries","Force users to re-type their shipping address as billing address on the next step","<label><input type=""checkbox"" onChange={copyShipping} /> Billing address same as shipping</label>","/* Step 2 requires manually re-entering all address fields from Step 1 */",manual test multi-step form,Medium
46,Understandable,3.3.8 Accessible Authentication (Minimum),AA,"authentication, CAPTCHA, cognitive, WCAG 2.2","Authentication does not require cognitive function tests unless an alternative is provided","Support password managers copy/paste and provide alternatives to text-based CAPTCHAs","Block paste in password fields or require memorized CAPTCHA text with no alternative","<input type=""password"" autoComplete=""current-password"" /> /* allows password manager */","<input type=""password"" onPaste={(e) => e.preventDefault()} /> /* blocks paste */",manual test with password manager,Critical
47,Robust,4.1.2 Name Role Value,A,"aria, name, role, value, semantic","All UI components have accessible names and roles that can be programmatically determined","Use native HTML elements or add proper ARIA roles names and states to custom components","Create custom interactive components without any ARIA attributes or semantic markup","<button aria-expanded={isOpen} aria-controls=""menu-panel"">Menu</button><div id=""menu-panel"" role=""menu"" hidden={!isOpen}>...</div>","<div class=""menu-trigger"" onClick={toggle}>Menu</div><div class=""panel"" style={{display: isOpen ? 'block' : 'none'}}>...</div>",axe-core + screen reader,Critical
48,Robust,4.1.3 Status Messages,AA,"live region, aria-live, status","Status messages can be programmatically determined without receiving focus","Use aria-live regions or role='status' to announce dynamic content changes","Update text on the page silently so screen reader users miss important status changes","<div role=""status"" aria-live=""polite"">3 results found.</div>","<div className=""results-count"">3 results found.</div> /* not announced */",screen reader test,High
49,Robust,ARIA Roles and States,A,"aria, roles, states, properties","ARIA roles states and properties are used correctly following the WAI-ARIA specification","Use ARIA attributes that match the element role and keep states synchronized with UI","Add random ARIA attributes that contradict the element behavior or native semantics","<div role=""tablist""><button role=""tab"" aria-selected=""true"">Tab 1</button><button role=""tab"" aria-selected=""false"">Tab 2</button></div>","<div role=""tablist""><a role=""button"" aria-selected=""maybe"">Tab 1</a></div>",axe-core + screen reader,High
50,Robust,ARIA Live Regions,A,"aria-live, assertive, polite, announcements","Live regions are used appropriately to announce dynamic content to screen readers","Use aria-live='polite' for non-urgent updates and 'assertive' only for critical alerts","Make every dynamic update assertive or use too many simultaneous live regions","<div aria-live=""polite"">Item added to cart.</div><div role=""alert"">Payment failed. Please try again.</div>","<div aria-live=""assertive"">You have 3 items.</div><div aria-live=""assertive"">Welcome back!</div><div aria-live=""assertive"">New message!</div>",screen reader test,High
51,Robust,ARIA Labels and Descriptions,A,"aria-label, aria-labelledby, aria-describedby","Interactive elements with no visible text must have accessible names via ARIA","Use aria-label for icon buttons and aria-describedby for supplemental instructions","Leave icon-only buttons without any accessible name so screen readers say 'button'","<button aria-label=""Close dialog""><XIcon /></button>","<button><XIcon /></button> /* screen reader says: 'button' */",axe-core + screen reader,Critical
52,Motion & Animation,prefers-reduced-motion,AA,"reduced motion, animation, media query","Respect user preference for reduced motion by disabling or reducing animations","Wrap all animations in a prefers-reduced-motion media query","Play complex animations regardless of user motion preference settings","@media (prefers-reduced-motion: reduce) { * { animation-duration: 0.01ms !important; transition-duration: 0.01ms !important; } }","/* All users get the same heavy animations regardless of preference */",toggle reduced motion in OS + visual test,High
53,Motion & Animation,Parallax Alternatives,AA,"parallax, scrolling, alternative","Parallax and scroll-linked effects have accessible alternatives that do not cause discomfort","Disable parallax effects when prefers-reduced-motion is set and keep content readable","Use aggressive parallax scrolling with no option to disable for vestibular-sensitive users","const prefersReduced = window.matchMedia('(prefers-reduced-motion: reduce)').matches; if (!prefersReduced) { initParallax(); }","/* Parallax always active, triggers motion sickness for some users */",toggle reduced motion + manual test,High
54,Motion & Animation,Auto-playing Video,A,"video, autoplay, controls, muted","Auto-playing video must be muted by default with visible pause and volume controls","Autoplay only when muted and always provide visible pause/stop controls","Autoplay video with sound and no way to pause or mute it","<video autoPlay muted loop playsInline><source src=""hero.mp4"" /></video><button onClick={togglePlay}>Pause</button>","<video autoPlay loop><source src=""hero.mp4"" /></video> /* sound + no controls */",manual test,High
55,Motion & Animation,Decorative Animation Budget,AA,"animation, performance, subtle","Keep decorative animations subtle and short to avoid distraction and vestibular triggers","Limit decorative animations to under 5 seconds and keep movement subtle","Use continuous looping large-scale decorative animations that distract from content","<div className=""fade-in"" style=""animation: fadeIn 0.3s ease-out forwards;"">Content</div>","<div style=""animation: bounce 0.5s infinite, rotate 2s infinite, pulse 1s infinite;"">Content</div>",manual review + reduced motion toggle,Medium
56,Motion & Animation,Vestibular-Safe Transitions,AA,"vestibular, zoom, scale, safe","Page transitions and route changes should avoid large-scale motion that triggers vestibular disorders","Use simple fade or opacity transitions for route changes instead of zoom or slide effects","Use full-page zoom slide or rotate transitions during navigation","/* Route transition */ .page-enter { opacity: 0; } .page-enter-active { opacity: 1; transition: opacity 200ms ease; }","/* Route transition */ .page-enter { transform: scale(0) rotate(180deg); } .page-enter-active { transform: scale(1) rotate(0); transition: all 600ms; }",toggle reduced motion + manual navigation test,Medium
57,Motion & Animation,Scroll-driven Animation a11y,AA,"scroll animation, intersection observer, reduced motion","Scroll-triggered animations must respect reduced motion and not block content access","Gate scroll animations behind prefers-reduced-motion and ensure content is visible without them","Hide content until scroll triggers the reveal animation making it inaccessible if animations fail","const prefersReduced = window.matchMedia('(prefers-reduced-motion: reduce)').matches; if (prefersReduced) { element.style.opacity = '1'; } else { observer.observe(element); }","<div style=""opacity: 0;"" className=""scroll-reveal"">Important content only visible after scroll animation triggers</div>",toggle reduced motion + scroll test,High
