No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
20,Images,Use next/image for optimization,Automatic image optimization with WebP/AVIF lazy loading and srcset,<Image> component with width height alt,<img> tags directly,<Image src={hero} alt='Dashboard preview' width={800} height={600} priority />,<img src='/hero.png' />,High,https://nextjs.org/docs/app/building-your-application/optimizing/images
21,Images,Always provide width and height,Prevent CLS (Cumulative Layout Shift) with explicit dimensions,width and height props or fill with sizes,Missing dimensions causing layout shift,<Image width={400} height={300} alt='Product' />,<Image src={url} alt='Product' />,High,
22,Images,Use fill for responsive images,Fill container with object-fit for responsive layouts,fill prop with relative parent + sizes attribute,Fixed dimensions for responsive images,"<div className='relative h-64'><Image fill sizes='100vw' className='object-cover' /></div>","<Image width={window.innerWidth} />",Medium,
23,Images,Configure remote image domains,Whitelist external image sources in next.config,remotePatterns in next.config.ts with protocol hostname pathname,Allow all domains or use deprecated domains config,"remotePatterns: [{ protocol: 'https', hostname: 'cdn.example.com' }]","images: { domains: ['*'] } // deprecated and insecure",High,https://nextjs.org/docs/app/api-reference/components/image#remotepatterns
24,Images,Use priority for LCP images,Mark above-the-fold hero images as priority for faster loading,priority prop on hero/banner images only,priority on every image or on below-fold images,"<Image priority src={hero} alt='Hero' width={1200} height={600} />","<Image priority /> on every image",Medium,
25,Fonts,Use next/font for zero-layout-shift fonts,Self-hosted Google fonts with automatic optimization and no external requests,next/font/google or next/font/local with variable and subsets,External font links in head,"import { Inter } from 'next/font/google'; const inter = Inter({ subsets: ['latin'], variable: '--font-inter' })","<link href='fonts.googleapis.com' />",Medium,https://nextjs.org/docs/app/building-your-application/optimizing/fonts
26,Fonts,Apply font via CSS variable in layout,Set font variable on body in root layout for global usage,className with font variable on body + CSS var() in Tailwind,Font import in individual pages,<body className={`${inter.variable} antialiased`}>,Each page imports its own font,Low,
27,Fonts,Use variable fonts,Single variable font file covers all weights reducing bundle size,Variable font with subsets,Multiple static font weight files,"Inter({ subsets: ['latin'], display: 'swap' })","Inter_400 Inter_500 Inter_700 separate imports",Low,
28,Metadata,Use generateMetadata for dynamic pages,Generate metadata based on route params for SEO,export async function generateMetadata({ params }),Hardcoded metadata on dynamic pages,"export async function generateMetadata({ params }) { const post = await getPost(params.slug); return { title: post.title } }","export const metadata = { title: 'Blog Post' } // same for all posts",Medium,https://nextjs.org/docs/app/building-your-application/optimizing/metadata
29,Metadata,Include OpenGraph images,Add OG images for social sharing previews,opengraph-image.tsx or images array in metadata,Missing social preview images entirely,"openGraph: { images: [{ url: '/og.png', width: 1200, height: 630 }] }","No OG configuration at all",Medium,
30,Metadata,Use metadata API not head tags,Export metadata object or generateMetadata instead of manual head tags,export const metadata = { title description },Manual <head> tags,"export const metadata: Metadata = { title: 'Home', description: '...' }","<head><title>Home</title></head>",Medium,
31,API,Use Route Handlers for external APIs,app/api routes for REST endpoints consumed by external services,app/api/users/route.ts with exported HTTP method functions,pages/api (legacy) or creating API routes for internal mutations,export async function GET(request: NextRequest) { },export default function handler(req res),Medium,https://nextjs.org/docs/app/building-your-application/routing/route-handlers
32,API,Return NextResponse objects,Use NextResponse.json() for proper HTTP responses with headers,NextResponse.json() with status codes and headers,Plain objects or res.json(),"return NextResponse.json({ data }, { status: 200 })","return { data } // not a valid Response",Medium,
33,API,Export named HTTP method functions,Each HTTP method is a separate exported function,Export GET POST PUT DELETE PATCH as named functions,Single handler with switch on method,"export async function GET() { } export async function POST() { }","export default function handler(req) { switch(req.method) }",Low,
34,API,Validate request input with Zod,Validate all request bodies and params before processing,Zod schema.parse() for type-safe validation,Trust client input without validation,"const body = createPostSchema.parse(await request.json())","const body = await request.json() // unvalidated",High,
35,API,Use proxy.ts for API proxying (Next.js 16),Use proxy.ts to forward requests to external APIs without exposing them to client,proxy.ts in app/api directory for external API forwarding,Exposing external API keys in client-side fetch calls,"// app/api/proxy.ts - forwards to external service securely","fetch('https://api.external.com' { headers: { 'API-Key': process.env.KEY } }) // from client",Medium,
36,Middleware,Use middleware for auth and redirects,middleware.ts at project root for authentication guards and redirects,middleware.ts with matcher for protected routes,Auth check in every page component,"export function middleware(request: NextRequest) { if (!token) return NextResponse.redirect('/sign-in') }","if (!session) redirect('/sign-in') // in every page",Medium,https://nextjs.org/docs/app/building-your-application/routing/middleware
37,Middleware,Match specific paths only,Configure middleware matcher to run only on needed routes,config.matcher for specific route patterns,Running middleware on all routes including static assets,"export const config = { matcher: ['/dashboard/:path*', '/admin/:path*'] }","No matcher config // runs on every request",Medium,
38,Middleware,Keep middleware Edge-compatible,Middleware runs on Edge runtime with limited API surface,Edge-compatible code only (no fs no Node.js APIs),Node.js APIs in middleware,Edge-compatible JWT verification,"import fs from 'fs' // NOT available in Edge",High,
39,Environment,NEXT_PUBLIC_ prefix for client vars,Only env vars with NEXT_PUBLIC_ prefix are exposed to browser,NEXT_PUBLIC_ prefix for client-accessible values,Server secrets exposed to client code,"process.env.NEXT_PUBLIC_API_URL // available in browser","process.env.DATABASE_URL // undefined in browser but SECRET if exposed",High,https://nextjs.org/docs/app/building-your-application/configuring/environment-variables
40,Environment,Validate env vars on startup,Check required env vars exist at build/start time to fail fast,Validation in instrumentation.ts or env schema with Zod,Runtime crashes from undefined env vars,"if (!process.env.DATABASE_URL) throw new Error('DATABASE_URL required')","process.env.DATABASE_URL?.split('//') // might crash at runtime",High,
41,Environment,Never commit secrets,Use .env.local (gitignored) for development secrets,.env.local with secrets + .env.example for documentation,Secrets in .env committed to git,.env.local with DATABASE_PASSWORD,.env with DATABASE_PASSWORD committed,High,
42,Performance,Analyze bundle with @next/bundle-analyzer,Identify large dependencies and optimize imports,ANALYZE=true npm run build to inspect bundles,Ship without knowing bundle composition,"const withBundleAnalyzer = require('@next/bundle-analyzer')({ enabled: process.env.ANALYZE === 'true' })","Never analyzing bundle size",Medium,https://nextjs.org/docs/app/building-your-application/optimizing/bundle-analyzer
43,Performance,Dynamic imports for heavy components,Code split with next/dynamic to lazy-load components not needed on initial render,dynamic() with ssr: false for client-only heavy components,Import everything statically at top level,"const Chart = dynamic(() => import('./Chart'), { loading: () => <Skeleton /> })","import { Chart } from './heavy-chart-lib'",Medium,https://nextjs.org/docs/app/building-your-application/optimizing/lazy-loading
44,Performance,Prevent layout shifts with skeletons,Reserve space for async content to avoid CLS,Skeleton loaders matching final layout dimensions,Content popping in without placeholder,"<Suspense fallback={<div className='h-48 animate-pulse bg-muted rounded' />}><Content/></Suspense>","No placeholder for async content",High,
45,Link,Use next/link for client-side navigation,Prefetching and client-side transitions with Link component,<Link href='/about'> for all internal navigation,<a href='/about'> for internal links,"<Link href='/about'>About</Link>","<a href='/about'>About</a> // full page reload",High,https://nextjs.org/docs/app/api-reference/components/link
46,Link,Control prefetching behavior,Disable prefetch for low-priority or authenticated routes,prefetch={false} for low-priority links,Prefetching all links including heavy authenticated pages,"<Link href='/settings' prefetch={false}>Settings</Link>","Default prefetch on every link",Low,
47,Forms,Use next/form for enhanced forms (Next.js 16),next/form extends HTML form with prefetching and client-side navigation,"import Form from 'next/form' with action prop for progressive enhancement","Regular <form> without Next.js optimizations","<Form action='/search'><input name='q' /></Form>","<form onSubmit={handleSubmit}> // no progressive enhancement",Medium,https://nextjs.org/docs/app/api-reference/components/form
48,Forms,Use useActionState for form state (React 19),useActionState replaces useFormState for managing Server Action results,"useActionState(serverAction, initialState) for form + error state","useState + manual error handling for forms","const [state, action, pending] = useActionState(createUser, null)","const [error, setError] = useState(); const handleSubmit = async () => { try { await createUser() } catch(e) { setError(e) } }",Medium,
49,Forms,Use useFormStatus for pending state (React 19),useFormStatus provides pending state inside form children for submit buttons,<SubmitButton/> component using useFormStatus() inside the form,Passing loading prop manually from parent,"function SubmitBtn() { const { pending } = useFormStatus(); return <button disabled={pending}>{pending ? 'Saving...' : 'Save'}</button> }","<button disabled={loading}>{loading ? 'Saving...' : 'Save'}</button> // manual prop drilling",Medium,
50,Config,Use next.config.ts (TypeScript),Next.js 16 supports TypeScript config file natively,next.config.ts with NextConfig type,next.config.js without type safety,"import type { NextConfig } from 'next'; const config: NextConfig = {}; export default config","module.exports = { } // no type safety",Medium,https://nextjs.org/docs/app/api-reference/config/next-config-js
51,Config,Enable strict mode,Catch potential issues and double-rendering in development,reactStrictMode: true (default in Next.js 16),Disabling strict mode,reactStrictMode: true,reactStrictMode: false,Medium,
52,Config,Configure redirects and rewrites in config,Use config for URL management instead of middleware for simple cases,redirects() rewrites() in next.config.ts,Manual redirect handling in every page,"async redirects() { return [{ source: '/old', destination: '/new', permanent: true }] }","Middleware redirect for simple URL changes",Medium,https://nextjs.org/docs/app/api-reference/config/next-config-js/redirects
53,Security,Sanitize user input always,Never trust or render user input without sanitization,Escape sanitize and validate all user input,Direct interpolation of user data into HTML,"DOMPurify.sanitize(userInput)","dangerouslySetInnerHTML={{ __html: userInput }} // XSS vulnerability",High,
54,Security,Configure CSP headers,Content Security Policy prevents XSS attacks,CSP headers in next.config.ts or middleware,No security headers at all,"headers: [{ key: 'Content-Security-Policy', value: csp }]","No CSP configuration",High,https://nextjs.org/docs/app/building-your-application/configuring/content-security-policy
55,Security,Validate Server Action input,Server Actions are public HTTP endpoints - always validate and authorize,Auth check + Zod validation inside every Server Action,Trust Server Action input without validation,"'use server'; const session = await auth(); if (!session) throw new Error('Unauthorized'); const data = schema.parse(formData)","'use server'; await db.user.delete(formData.get('id')) // no auth check",High,
56,Security,Use forbidden() and unauthorized() (Next.js 16),New auth helpers for proper HTTP status codes in App Router,"forbidden() for 403, unauthorized() for 401 responses","Generic redirect to /login for all auth failures","import { forbidden } from 'next/navigation'; if (!canEdit) forbidden()","if (!canEdit) redirect('/login') // wrong status code",Medium,
57,Bundler,Turbopack is default for next dev in Next.js 16,Turbopack replaces webpack as default dev bundler - much faster HMR,next dev (uses Turbopack by default),next dev --webpack unless you have specific webpack plugins,"pnpm dev // uses Turbopack automatically","next dev --webpack // slower legacy bundler",Medium,https://nextjs.org/docs/app/api-reference/turbopack
58,Bundler,Use --webpack flag when Turbopack fails,Some Windows environments or complex webpack configs need --webpack fallback,next dev --webpack if Turbopack crashes on your system,Giving up when Turbopack fails - try webpack mode,"next dev --webpack // fallback for Turbopack issues","Abandoning the project when dev server crashes",High,
59,Bundler,next build uses Turbopack by default,Next.js 16 build also uses Turbopack - use --webpack only if custom webpack config exists,next build (Turbopack) for standard projects,--webpack for build unless you have custom webpack plugins in next.config,"next build // Turbopack default","next build --webpack // only if custom webpack config needed",Medium,
60,BugAvoid,ThemeProvider must always provide context during SSR,When ThemeProvider has mounted/unmounted state the pre-mount branch must still wrap children in Context.Provider or useContext consumers will throw,Always render Context.Provider even before mount - just provide default values,Returning bare children without Provider in unmounted state,"if (!mounted) return <ThemeContext.Provider value={defaults}>{children}</ThemeContext.Provider>","if (!mounted) return <>{children}</> // useTheme() throws 'must be used within Provider'",Critical,
61,BugAvoid,Never set NODE_ENV=production for dev server,Next.js dev requires NODE_ENV=development - production NODE_ENV causes crashes and undefined behavior,Ensure NODE_ENV=development when running next dev,Having NODE_ENV=production in environment while running dev,"NODE_ENV=development pnpm dev","NODE_ENV=production next dev // causes startup crashes",Critical,
62,BugAvoid,SWC useCacheEnabled bug in Next.js 16.1.x,When useCache is not configured SWC options have undefined fields causing 'untagged enum Config' error,Patch node_modules/next/dist/build/swc/options.js to default undefined fields to false,Ignoring SWC compilation errors with webpack mode,"useCacheEnabled: useCacheEnabled ?? false // patch options.js","useCacheEnabled // undefined dropped by JSON.stringify crashes SWC binary",Critical,
63,BugAvoid,generate-build-id.js bug in Next.js 16.1.x,Build fails with 'generate is not a function' when generateBuildId config is not set,Patch generate-build-id.js: typeof generate === 'function' ? await generate() : null,Leaving unpatched causing build failures,"let buildId = typeof generate === 'function' ? await generate() : null","let buildId = await generate() // crashes if generate is undefined",Critical,
64,BugAvoid,Turbopack crash on Windows,Turbopack may crash with 'Cannot read properties of undefined (reading replace)' on Windows,Use --webpack flag as fallback on Windows if Turbopack fails,Assuming Turbopack works on all platforms,"next dev --webpack // Windows fallback","next dev --turbopack // may crash on Windows with certain setups",High,
65,BugAvoid,Use cross-platform postinstall scripts,sed and other Unix commands fail on Windows - use Node.js scripts instead,node scripts/postinstall.js for cross-platform patching,sed awk or other Unix-only commands in postinstall,"node scripts/postinstall.js // works everywhere","sed -i 's/old/new/' file.js // fails on Windows",High,
66,BugAvoid,Clean .next directory when switching bundlers,Switching between Turbopack and webpack without cleaning cache causes stale manifest errors,rm -rf .next before switching between --turbopack and --webpack,Switching bundler without cleaning build cache,"rm -rf .next && next dev --webpack","next dev --webpack // after using turbopack - stale cache",Medium,
67,BugAvoid,Hydration mismatch from client-only values,Reading localStorage/window in initial render causes hydration mismatch,Use inline script in head for theme/locale or useState with useEffect pattern,"Reading localStorage in component body during SSR","<script dangerouslySetInnerHTML={{ __html: 'document.documentElement.classList.add(localStorage.theme)' }} />","const theme = localStorage.getItem('theme') // undefined on server causes mismatch",High,
68,BugAvoid,pnpm shamefully-hoist for Next.js,Next.js with pnpm needs shamefully-hoist=true in .npmrc or binaries may not be found,Add shamefully-hoist=true to .npmrc for pnpm projects,Default pnpm strictness may hide Next.js binaries,"echo 'shamefully-hoist=true' > .npmrc","pnpm install // next command not found without hoisting",Medium,
69,React19,Use use() hook for reading promises and context,React 19's use() hook can read promises in render and replaces useContext,use(promise) in client components + use(Context) replacing useContext,"useEffect + useState for promise resolution","const data = use(fetchPromise) // suspends until resolved","useEffect(() => { promise.then(setData) }, []) // verbose and error-prone",Medium,
70,React19,Use useOptimistic for instant UI feedback,Show optimistic state immediately while Server Action is pending,useOptimistic for instant UI updates that revert on error,Waiting for server response before updating UI,"const [optimisticLikes, addLike] = useOptimistic(likes, (state, newLike) => [...state, newLike])","setLikes(prev => [...prev, newLike]); await serverAction() // laggy UI",Medium,
71,React19,ref is a regular prop in React 19,No need for forwardRef - ref is passed as a regular prop,function Input({ ref ...props }) { return <input ref={ref} /> },forwardRef wrapper (still works but unnecessary),"function Input({ ref, ...props }) { return <input ref={ref} {...props} /> }","const Input = forwardRef((props, ref) => <input ref={ref} />) // unnecessary wrapper",Low,
72,React19,Use ref cleanup functions,React 19 supports returning cleanup from ref callbacks for proper teardown,Return cleanup function from ref callback,Manual cleanup in useEffect for ref-based subscriptions,"<div ref={(node) => { setup(node); return () => cleanup(node) }} />","useEffect(() => { if (ref.current) setup(ref.current); return () => cleanup(ref.current) }, [])",Low,
73,Tailwind4,Tailwind CSS v4 uses @import not @tailwind,Tailwind v4 (used with Next.js 16) replaces @tailwind directives with CSS @import,@import 'tailwindcss' in globals.css,@tailwind base/components/utilities directives,"@import 'tailwindcss';","@tailwind base; @tailwind components; @tailwind utilities; // v3 syntax",High,
74,Tailwind4,Use @theme for custom design tokens in Tailwind v4,Tailwind v4 uses @theme block in CSS instead of tailwind.config.js for customization,@theme inline { --color-primary: #1E40AF } in globals.css,tailwind.config.js theme.extend (v3 pattern),"@theme inline { --color-primary: #1E40AF; --font-sans: var(--font-inter); }","module.exports = { theme: { extend: { colors: { primary: '#1E40AF' } } } } // v3 config",High,
75,Tailwind4,PostCSS config uses @tailwindcss/postcss,Tailwind v4 uses @tailwindcss/postcss plugin instead of tailwindcss,"plugins: { '@tailwindcss/postcss': {} } in postcss.config.mjs","plugins: { tailwindcss: {} } (v3 plugin)","{ plugins: { '@tailwindcss/postcss': {} } }","{ plugins: { tailwindcss: {}, autoprefixer: {} } } // v3 config",High,
